Transcript ID	Locus ID	Entrez Arabidopsis ID	Col_Shoot_baseMeanB_GC	Col_Shoot_baseMeanA_FL	Col_Shoot_log2FoldChange	Col_Shoot_pval	Col_Shoot_padj	Symbol
AT1G06640.3	AT1G06640	837173	1204.200749	1884.946054	-0.646447316	0.031981142	1	2-oxoglutarate-dependent dioxygenase
AT1G07040.1	AT1G07040	837215	602.7078687	920.7065775	-0.611282553	0.020539695	1	-
AT1G07640.1	AT1G07640	837277	422.0228043	297.1487932	0.506135437	0.035888932	1	OBP2
AT1G07640.2	AT1G07640	837277	427.3403154	299.0371905	0.515060507	0.032831393	1	OBP2
AT1G07640.3	AT1G07640	837277	425.5450544	302.5057599	0.492349272	0.040671437	1	OBP2
AT1G08050.1	AT1G08050	837321	124.3572635	67.88364664	0.873354804	0.003434897	0.448790326	zinc finger
AT1G08830.1	AT1G08830	837405	2984.498414	5875.312922	-0.977177205	2.99E-05	0.015591781	CSD1
AT1G08830.2	AT1G08830	837405	2984.498414	5875.312922	-0.977177205	2.99E-05	0.015591781	CSD1
AT1G08840.2	AT1G08840	837406	897.1531771	1280.159107	-0.512896897	0.02117474	1	emb2411
AT1G09560.1	AT1G09560	837482	1284.501959	619.5572158	1.051899665	0.000808807	0.196196567	GLP5
AT1G10380.1	AT1G10380	837577	72.51276306	39.75564771	0.867075123	0.016837991	1	-
AT1G10480.1	AT1G10480	837588	5.425066763	1.240951523	2.128194133	0.027105679	1	ZFP5
AT1G10750.1	AT1G10750	837618	50.83104201	28.88620119	0.815329318	0.015250274	1	-
AT1G11120.1	AT1G11120	837653	24.88361165	9.758279403	1.350497199	0.005488361	0.573225184	-
AT1G11120.2	AT1G11120	837653	24.46917084	8.849488832	1.467299186	0.003256025	0.438461492	-
AT1G11170.2	AT1G11170	837658	95.18989291	145.8935859	-0.616036153	0.038782283	1	-
AT1G11210.1	AT1G11210	837662	137.4223868	238.2838584	-0.794064179	0.018047679	1	-
AT1G11420.1	AT1G11420	837684	43.69665848	20.76475655	1.073386003	0.018202706	1	agenet
AT1G11545.1	AT1G11545	837698	475.336898	310.2014332	0.615745043	0.029078336	1	glucosyl transferase
AT1G11740.1	AT1G11740	837718	31.02526702	63.0188948	-1.022340826	0.033961715	1	ankyrin repeat
AT1G12200.1	AT1G12200	837773	352.1923718	163.0678983	1.110890862	0.002872743	0.411907126	FMO
AT1G12210.1	AT1G12210	837774	85.23626113	50.17944345	0.764370841	0.036471031	1	RFL1
AT1G12520.1	AT1G12520	837808	1182.255883	3080.190016	-1.381477032	2.98E-06	0.003244542	CCS
AT1G12520.2	AT1G12520	837808	1132.894982	2932.228662	-1.371983481	2.42E-06	0.002762712	CCS
AT1G12520.3	AT1G12520	837808	1120.998303	2870.219543	-1.356376998	4.05E-06	0.003878283	CCS
AT1G12710.1	AT1G12710	837826	244.6112985	379.2367926	-0.632607894	0.048330107	1	PP2-A12
AT1G12950.1	AT1G12950	837853	8.159716329	2.142682586	1.929100851	0.027126704	1	MATE efflux
AT1G13340.1	AT1G13340	837894	258.3718917	144.0827585	0.842551421	0.022567849	1	-
AT1G13390.2	AT1G13390	837899	264.2687639	370.3931752	-0.487051605	0.048912459	1	-
AT1G13480.1	AT1G13480	837908	56.58796178	2.814063999	4.32976813	6.70E-06	0.005276952	-
AT1G13520.1	AT1G13520	837912	122.6397115	2.922952018	5.390856251	1.41E-07	0.000248811	-
AT1G13530.1	AT1G13530	837913	23.7971958	7.914005632	1.588311583	0.001812273	0.316635649	-
AT1G13750.1	AT1G13750	837935	574.7919883	196.6478302	1.547425685	6.45E-07	0.000913326	phosphoesterase
AT1G13830.1	AT1G13830	837944	28.99767103	10.74768554	1.431911017	0.017476602	1	"beta-1,3-glucanase"
AT1G14120.1	AT1G14120	837971	173.1779489	98.26987953	0.817434048	0.031299972	1	2-oxoglutarate-dependent dioxygenase
AT1G14170.1	AT1G14170	837976	266.8316544	156.5238009	0.769547775	0.048888659	1	KH
AT1G14170.2	AT1G14170	837976	264.6268517	154.9506885	0.772150295	0.047988776	1	KH
AT1G14170.3	AT1G14170	837976	265.6786952	155.4184301	0.773524949	0.047310891	1	KH
AT1G14540.1	AT1G14540	838016	591.1695364	12.7944219	5.52998506	0.005389911	0.571560577	anionic peroxidase
AT1G14750.1	AT1G14750	838040	32.43542669	60.05129872	-0.888625029	0.026119112	1	SDS
AT1G14750.2	AT1G14750	838040	20.70728008	41.99192207	-1.019973758	0.028887525	1	SDS
AT1G14870.1	AT1G14870	838052	588.4259346	95.36781222	2.625286508	3.72E-06	0.003656746	-
AT1G15380.1	AT1G15380	838107	35.35963302	101.6189236	-1.52299388	0.020581413	1	glyoxalase I
AT1G15380.2	AT1G15380	838107	34.5415769	100.2451484	-1.537126564	0.020059897	1	glyoxalase I
AT1G15460.1	AT1G15460	838116	2.391382499	0	Inf	0.032393658	1	BOR4
AT1G15640.1	AT1G15640	838134	3.835575246	0	Inf	0.007389509	0.713097726	-
AT1G15760.1	AT1G15760	838145	17.75913314	6.401337922	1.472115788	0.010258307	0.862964858	-
AT1G16150.1	AT1G16150	838184	12.40973239	0.783026483	3.986267091	0.000765164	0.196196567	WAKL4
AT1G16220.1	AT1G16220	838190	60.58353483	36.38737867	0.735487633	0.028444603	1	PP2C
AT1G17020.1	AT1G17020	838272	79.86767892	25.10559007	1.669603153	4.57E-05	0.022185717	SRG1
AT1G17170.1	AT1G17170	838288	51.57283762	9.527929753	2.436376745	5.54E-06	0.004565183	GST
AT1G17665.1	AT1G17665	838343	109.4523738	192.3651372	-0.813544115	0.038332403	1	-
AT1G17710.1	AT1G17710	838347	134.5561186	24.28726604	2.469935992	0.016581761	1	phosphatase
AT1G17710.2	AT1G17710	838347	132.4750369	23.49718005	2.495160998	0.01516504	1	phosphatase
AT1G17744.1	AT1G17744	6240445	311.8793825	120.6625033	1.370010765	0.00298248	0.416986872	-
AT1G17745.1	AT1G17745	838352	799.4695572	317.6013942	1.331825853	0.000214878	0.076101023	PGDH
AT1G17745.2	AT1G17745	838352	824.8817771	325.7865439	1.340260349	0.000199267	0.072553421	PGDH
AT1G17860.1	AT1G17860	838365	311.417609	142.3072403	1.129841459	0.019545355	1	protease
AT1G18265.1	AT1G18265	2745754	45.52656489	84.4756564	-0.891827047	0.022406484	1	-
AT1G18860.1	AT1G18860	838467	28.8672158	0.790085992	5.191278475	5.21E-06	0.004565183	WRKY61
AT1G18870.1	AT1G18870	838468	77.8254899	30.90893313	1.332218895	0.040600273	1	ICS2
AT1G18870.2	AT1G18870	838468	74.13282508	27.67775574	1.421385525	0.033744415	1	ICS2
AT1G18970.1	AT1G18970	838478	8.969335286	0.450865531	4.314231946	0.000599402	0.1684794	GLP4
AT1G18980.1	AT1G18980	838479	13.9520164	3.262172479	2.096568673	0.004466237	0.508605277	germin-like
AT1G19050.1	AT1G19050	838487	479.6358862	699.5464476	-0.544480246	0.036380454	1	ARR7
AT1G19250.1	AT1G19250	838508	206.130841	13.46716725	3.936042051	0.024243307	1	FMO1
AT1G19370.1	AT1G19370	838520	409.0363175	584.3115422	-0.514508845	0.049207497	1	-
AT1G19540.1	AT1G19540	838541	35.97957282	82.34087154	-1.194430661	0.002386546	0.374123571	isoflavone reductase
AT1G20015.1	AT1G20015	3766761	3.977972004	9.645088926	-1.277761417	0.049913337	1	snoRNA
AT1G20070.1	AT1G20070	838596	229.9225589	666.8843261	-1.536288518	0.013565289	0.999748743	-
AT1G20080.1	AT1G20080	838597	0.409028058	4.166660593	-3.348619869	0.044967672	1	SYTB
AT1G20440.1	AT1G20440	838632	1424.855909	2592.222501	-0.863373525	0.009109915	0.8005875	RD17
AT1G20450.1	AT1G20450	838633	1762.52792	2603.240849	-0.562662683	0.025596612	1	LTI45
AT1G20450.2	AT1G20450	838633	1746.312098	2578.198194	-0.562051755	0.026117043	1	LTI45
AT1G21240.1	AT1G21240	838719	241.3278681	24.75480372	3.28521411	0.002347741	0.374123571	WAK3
AT1G21310.1	AT1G21310	838728	2071.762315	211.6401023	3.291173572	4.25E-06	0.003962154	RSH
AT1G21550.1	AT1G21550	838756	34.85992177	118.0644263	-1.759933099	0.031562469	1	calcium-binding
AT1G22150.1	AT1G22150	838820	21.92849541	3.824665873	2.519401204	0.010734114	0.886152428	SULTR1;3
AT1G22490.1	AT1G22490	838855	16.30404175	37.26513974	-1.192597018	0.00871426	0.779612244	bHLH
AT1G22500.1	AT1G22500	838856	193.4888475	371.0425571	-0.939334254	0.008898884	0.787907174	zinc finger
AT1G23140.1	AT1G23140	838922	113.0805086	73.99208985	0.611907325	0.049037382	1	C2
AT1G26240.1	AT1G26240	839165	3.489406168	0	Inf	0.040366001	1	extensin
AT1G26250.1	AT1G26250	839166	6.927219399	0	Inf	0.002396378	0.374123571	extensin
AT1G26380.1	AT1G26380	839180	333.6390191	22.19934461	3.909699032	0.00281859	0.409111414	FAD-binding
AT1G26390.1	AT1G26390	839181	1551.103467	4.373057457	8.470436906	0.00041544	0.127941212	FAD-binding
AT1G26410.1	AT1G26410	839183	131.1670863	4.251595827	4.947257485	0.003812723	0.473813468	FAD-binding
AT1G26420.1	AT1G26420	839184	147.0921897	22.90347044	2.68308252	0.004341474	0.499213086	FAD-binding
AT1G28330.1	AT1G28330	839729	1152.66275	2121.341557	-0.880006461	0.002272733	0.367539329	DYL1
AT1G28330.2	AT1G28330	839729	1378.34786	2533.747562	-0.878332762	0.002321214	0.371982353	DYL1
AT1G28330.3	AT1G28330	839729	1345.742248	2429.042921	-0.851985868	0.002990588	0.416986872	DYL1
AT1G28330.4	AT1G28330	839729	903.6503444	1638.956766	-0.858941244	0.003620794	0.457978737	DYL1
AT1G28330.5	AT1G28330	839729	1334.981043	2449.724452	-0.875800226	0.002245655	0.365605879	DYL1
AT1G28620.1	AT1G28620	3766810	46.24406827	22.03925629	1.069192782	0.023314049	1	-
AT1G29270.1	AT1G29270	839801	22.5686694	49.12315012	-1.122081717	0.015823807	1	-
AT1G29860.1	AT1G29860	839864	12.59341024	2.600607626	2.275748361	0.006612566	0.659186088	WRKY71
AT1G30080.1	AT1G30080	839887	13.87601669	4.436796957	1.645003044	0.033013789	1	hydrolase
AT1G30660.1	AT1G30660	839946	3.060674907	13.78606461	-2.171288961	0.021620409	1	nucleic acid binding
AT1G30700.1	AT1G30700	839950	488.5838394	13.07282942	5.223962816	6.69E-11	7.90E-07	FAD-binding
AT1G30720.1	AT1G30720	839952	264.5784579	40.54457368	2.706114853	1.89E-05	0.010789667	FAD-binding
AT1G30730.1	AT1G30730	839953	87.03774075	28.0952201	1.631316406	0.001465471	0.276069879	FAD-binding
AT1G30820.1	AT1G30820	839964	2016.420268	2783.242894	-0.464970458	0.04834766	1	CTP synthase
AT1G30860.1	AT1G30860	839970	22.76968596	50.41843243	-1.14683687	0.005839927	0.596042789	protein binding
AT1G30900.1	AT1G30900	839974	283.1795712	93.65972947	1.596216416	0.000907365	0.210034334	vacuolar sorting receptor
AT1G31050.1	AT1G31050	839991	8.261345658	1.454407896	2.505944858	0.006666876	0.661383954	TF
AT1G31850.1	AT1G31850	840075	1175.030983	1693.298929	-0.527137886	0.032614796	1	dehydration-responsive
AT1G31850.2	AT1G31850	840075	1154.218095	1668.449911	-0.531592522	0.031833712	1	dehydration-responsive
AT1G31850.3	AT1G31850	840075	1175.030983	1693.180224	-0.527036746	0.032613328	1	dehydration-responsive
AT1G32350.1	AT1G32350	840127	102.1641643	3.235479851	4.980765734	0.001000044	0.218652623	AOX1D
AT1G32570.2	AT1G32570	840151	1.073421375	7.180061947	-2.741779769	0.020282543	1	-
AT1G32940.1	AT1G32940	840188	551.6898546	210.7791274	1.38812544	1.89E-05	0.010789667	SBT3.5
AT1G32950.1	AT1G32950	840189	53.33849626	22.31253509	1.257322714	0.003861518	0.473813468	subtilase
AT1G33030.1	AT1G33030	840198	50.48068303	16.26142863	1.634277422	0.041146391	1	methyltransferase
AT1G34100.1	AT1G34100	3766911	17.51025723	52.75320615	-1.591058501	0.000857226	0.201056507	-
AT1G34420.1	AT1G34420	840345	241.9050759	137.7214112	0.812688173	0.004486895	0.509320105	kinase
AT1G34750.1	AT1G34750	840379	276.6373402	188.3944346	0.554239556	0.048189736	1	PP2C
AT1G35230.1	AT1G35230	840412	28.98664977	4.628888091	2.64665101	0.049251889	1	AGP5
AT1G36060.1	AT1G36060	840510	113.4022965	258.5102215	-1.188771469	0.0005349	0.1578669	AP2
AT1G36622.1	AT1G36622	5007772	128.6980659	40.72977481	1.659834629	0.046301839	1	-
AT1G36640.1	AT1G36640	840572	7.783091668	0.450865531	4.109574224	0.025567153	1	-
AT1G38065.1	AT1G38065	840651	36.14263269	12.67748386	1.511433161	0.029189377	1	-
AT1G44130.1	AT1G44130	841016	132.829104	12.92292583	3.361566642	0.001053313	0.223378121	nucellin
AT1G44740.1	AT1G44740	841038	23.43761735	10.2640756	1.191222212	0.022505537	1	-
AT1G44830.1	AT1G44830	841047	66.78161894	157.6341207	-1.239056874	0.000749543	0.196196567	AP2
AT1G45145.1	AT1G45145	841082	194.3453919	74.59397932	1.381491804	0.003366914	0.448280575	LIV1
AT1G46554.1	AT1G46554	6241141	60.85164955	107.5369109	-0.821463658	0.014527163	1	other RNA
AT1G47840.1	AT1G47840	841200	101.9064202	42.05477291	1.276903495	0.00127282	0.251833447	HXK3
AT1G47890.1	AT1G47890	841206	107.1740572	10.05942806	3.41333554	3.11E-06	0.003244542	RLP7
AT1G48268.1	AT1G48268	6240926	10.20975571	3.248053462	1.652301063	0.04679142	1	-
AT1G49500.1	AT1G49500	841374	731.7855702	1261.131189	-0.785225487	0.012062971	0.939080126	-
AT1G51270.1	AT1G51270	841550	249.0047686	478.4981919	-0.942340102	0.015325578	1	structural molecule/ transmembrane receptor
AT1G51270.2	AT1G51270	841550	272.4747163	516.5118299	-0.922679028	0.014957033	1	structural molecule/ transmembrane receptor
AT1G51270.3	AT1G51270	841550	258.4544281	502.8906262	-0.960334742	0.012121105	0.939345866	structural molecule/ transmembrane receptor
AT1G51270.4	AT1G51270	841550	156.31798	296.4702835	-0.923403775	0.016850747	1	structural molecule/ transmembrane receptor
AT1G51420.1	AT1G51420	841567	7.75068827	1.817581143	2.092304657	0.019336402	1	SPP1
AT1G51800.1	AT1G51800	841606	1067.268527	437.4351422	1.286782175	0.02851921	1	kinase
AT1G51890.1	AT1G51890	841616	604.3446167	116.3479822	2.376925264	0.002083344	0.349685911	kinase
AT1G51890.2	AT1G51890	841616	573.4419365	110.3806338	2.37716034	0.00197353	0.33603151	kinase
AT1G51913.1	AT1G51913	5007791	23.27917785	2.600607626	3.162119457	0.031219413	1	-
AT1G51915.1	AT1G51915	841619	8.739159113	0.332160952	4.71754008	0.043399999	1	cryptdin
AT1G52240.2	AT1G52240	841654	71.84201263	118.9594433	-0.727570129	0.01667505	1	ROPGEF11
AT1G52530.1	AT1G52530	841684	31.55631315	16.93712971	0.897739254	0.034716257	1	-
AT1G52560.1	AT1G52560	841687	5.402975212	0.783026483	2.786621055	0.02345722	1	HSP26.5-P
AT1G52560.2	AT1G52560	841687	5.402975212	0.783026483	2.786621055	0.023498258	1	HSP26.5-P
AT1G53625.1	AT1G53625	841798	12.64061774	0.773209924	4.031063005	0.002003478	0.337941799	-
AT1G53990.1	AT1G53990	841837	4.043732996	0	Inf	0.01111461	0.900881378	GLIP3
AT1G54010.1	AT1G54010	841839	3278.823566	1878.887377	0.803299679	0.00412369	0.486713568	myrosinase-associated
AT1G55430.1	AT1G55430	841990	8.425956359	0.783026483	3.427707436	0.00869423	0.779612244	DC1
AT1G55790.1	AT1G55790	842028	15.84651829	1.682000495	3.235915859	0.001732455	0.309881915	ATP binding
AT1G55790.2	AT1G55790	842028	17.4772909	1.231134964	3.827420743	0.000347006	0.110944563	ATP binding
AT1G55810.2	AT1G55810	842031	1008.919691	1449.900086	-0.523142144	0.04806069	1	UPRTase
AT1G56130.1	AT1G56130	842065	96.33744107	53.73551836	0.8422206	0.040280611	1	kinase
AT1G57590.1	AT1G57590	842135	58.96197362	142.3813629	-1.271903595	2.74E-05	0.014684264	carboxylesterase
AT1G58235.1	AT1G58235	842192	194.1920878	300.6948357	-0.63081567	0.030695581	1	-
AT1G58320.1	AT1G58320	842201	4.977268356	0	Inf	0.043348393	1	-
AT1G58340.1	AT1G58340	842203	44.50203827	22.06926086	1.011833104	0.00831361	0.754961061	ZF14
AT1G58410.1	AT1G58410	842210	15.30830734	5.286150486	1.534025369	0.004337025	0.499213086	CC-NBS-LRR
AT1G60140.1	AT1G60140	842309	834.8177993	1400.153723	-0.746051963	0.007602531	0.725744596	TPS10
AT1G60730.1	AT1G60730	842367	664.0142954	375.883494	0.820928737	0.003937852	0.473813468	aldo/keto reductase
AT1G60730.2	AT1G60730	842367	664.0142954	375.883494	0.820928737	0.003938324	0.473813468	aldo/keto reductase
AT1G60730.3	AT1G60730	842367	667.326993	375.1652148	0.830867794	0.003909991	0.473813468	aldo/keto reductase
AT1G60960.1	AT1G60960	842387	535.1928577	965.6232346	-0.851401527	0.004723449	0.525218382	IRT3
AT1G61080.1	AT1G61080	842400	9.117217927	1.115187436	3.031307448	0.020540245	1	proline-rich
AT1G61420.1	AT1G61420	842436	158.5577069	86.09460856	0.881013202	0.00361667	0.457978737	kinase
AT1G61480.1	AT1G61480	842442	10.1661594	2.90607595	1.806630444	0.029431147	1	kinase
AT1G61580.1	AT1G61580	842454	676.1275671	399.1594387	0.760330344	0.00347796	0.448790326	RPL3B
AT1G61667.1	AT1G61667	842463	171.206295	254.7783315	-0.573506835	0.02448403	1	-
AT1G61820.1	AT1G61820	842479	421.7828961	96.83116384	2.122957253	6.15E-06	0.004952174	BGLU46
AT1G61820.3	AT1G61820	842479	298.1101636	67.77862526	2.136943282	9.15E-06	0.006610812	BGLU46
AT1G61930.1	AT1G61930	842488	7.404005529	1.122246944	2.721915805	0.023107047	1	-
AT1G62300.1	AT1G62300	842527	303.995385	165.7387276	0.875138671	0.014615683	1	WRKY6
AT1G62440.1	AT1G62440	842542	41.34431675	162.855348	-1.977830165	2.19E-05	0.012247153	LRX2
AT1G62480.1	AT1G62480	842545	2037.032066	3143.161895	-0.625747892	0.022354321	1	vacuolar calcium-binding
AT1G63230.1	AT1G63230	842628	34.54927925	58.07813563	-0.749339528	0.045551055	1	PPR
AT1G63245.1	AT1G63245	28717391	7.080441665	0.790085992	3.163757767	0.028373806	1	CLE14
AT1G64170.1	AT1G64170	842721	359.7058638	172.4059271	1.061008305	0.038246865	1	CHX16
AT1G64670.1	AT1G64670	842775	528.5574748	310.9235461	0.765500482	0.028717932	1	BDG1
AT1G64940.1	AT1G64940	842802	12.72556828	0	Inf	9.83E-05	0.041960008	CYP89A6
AT1G65481.1	AT1G65481	6241153	67.88526728	5.551984392	3.612023092	0.027408445	1	other RNA
AT1G65690.1	AT1G65690	842880	238.5330389	18.75765461	3.668637751	8.82E-08	0.000164372	HIN1-related
AT1G66600.1	AT1G66600	842978	33.34422158	3.316112627	3.329871858	0.000801229	0.196196567	WRKY63
AT1G66880.1	AT1G66880	843006	1107.84892	765.4612194	0.533359957	0.03985166	1	kinase
AT1G66960.1	AT1G66960	843014	23.45619623	2.939828087	2.99616538	0.001833089	0.318238542	lupeol synthase
AT1G67000.1	AT1G67000	843018	17.77232313	6.815694265	1.382699751	0.034681428	1	kinase
AT1G67270.1	AT1G67270	843047	12.94299499	0.450865531	4.843330463	0.007048239	0.685770444	-
AT1G67300.2	AT1G67300	843050	216.4425411	317.2044966	-0.551429138	0.048242173	1	hexose transporter
AT1G67520.1	AT1G67520	843073	111.0780916	33.91408054	1.711618012	1.34E-05	0.008688233	kinase
AT1G67800.1	AT1G67800	843106	482.7486269	309.851394	0.639695697	0.01303564	0.993444584	copine
AT1G67800.2	AT1G67800	843106	475.1140047	301.629163	0.655497811	0.012116639	0.939345866	copine
AT1G67800.3	AT1G67800	843106	472.0390393	298.3501144	0.66189985	0.011063065	0.900711521	copine
AT1G67800.4	AT1G67800	843106	472.0390393	298.3501144	0.66189985	0.011063065	0.900711521	copine
AT1G67810.1	AT1G67810	843107	142.1232355	44.72217643	1.668080133	8.93E-05	0.039426506	SUFE2
AT1G67980.1	AT1G67980	843126	43.0731633	0.91585008	5.555534013	0.007795782	0.727788984	CCoAMT
AT1G67980.2	AT1G67980	843126	43.0731633	0.91585008	5.555534013	0.007795782	0.727788984	CCoAMT
AT1G68150.1	AT1G68150	843143	32.23083087	7.079796052	2.186661674	0.001428763	0.271350922	WRKY9
AT1G68450.1	AT1G68450	843174	10.7151466	0.783026483	3.774446676	0.00218119	0.35929786	VQ motif
AT1G68620.1	AT1G68620	843192	131.2306954	32.13786594	2.029759174	0.006849365	0.673825309	hydrolase
AT1G68690.1	AT1G68690	3767664	179.6898602	116.985601	0.619178032	0.018580548	1	kinase
AT1G68740.1	AT1G68740	843205	226.1303744	129.3395577	0.805991209	0.021084343	1	EXS
AT1G69252.1	AT1G69252	6240760	428.6314192	665.0720062	-0.633772942	0.015608648	1	other RNA
AT1G69252.2	AT1G69252	6240760	175.0578142	278.9162394	-0.672000473	0.015401964	1	other RNA
AT1G69526.2	AT1G69526	843287	62.60319176	98.98003469	-0.660901334	0.049910791	1	UbiE
AT1G69526.3	AT1G69526	843287	37.04141001	68.56607347	-0.88835589	0.018800019	1	UbiE
AT1G69920.1	AT1G69920	843328	6.331097817	0	Inf	0.024737371	1	GSTU12
AT1G70170.1	AT1G70170	843353	24.63436833	6.06917697	2.021099685	0.018486926	1	MMP
AT1G70440.1	AT1G70440	843380	20.18104435	7.184364405	1.490068401	0.022495156	1	SRO3
AT1G70640.1	AT1G70640	843401	0.886841514	6.982269999	-2.976947935	0.025545226	1	PB1
AT1G70800.1	AT1G70800	843417	14.41753648	32.40452085	-1.168370429	0.024640392	1	C2
AT1G70885.1	AT1G70885	3767686	0.738518339	5.286150486	-2.839511843	0.023150615	1	-
AT1G70920.1	AT1G70920	843431	7.989301602	0.664321904	3.588115004	0.002421494	0.376138766	ATHB18
AT1G71390.1	AT1G71390	843480	13.73013113	0.332160952	5.369319109	0.004624694	0.520717431	RLP11
AT1G72160.1	AT1G72160	843547	1756.867942	2493.5452	-0.505192602	0.040097445	1	SEC14 cytosolic factor
AT1G72280.1	AT1G72280	843560	172.3131158	106.0379438	0.700451917	0.013602388	0.999748743	AERO1
AT1G72680.1	AT1G72680	843600	375.2782208	264.3459367	0.505533415	0.033506113	1	cinnamyl-alcohol dehydrogenase
AT1G72800.1	AT1G72800	843611	77.05040152	126.3205735	-0.713215246	0.016023019	1	nuM1
AT1G72830.3	AT1G72830	843614	291.5378969	195.6527285	0.575388202	0.045642316	1	NF-YA3
AT1G73010.1	AT1G73010	843632	246.2518304	66.47379796	1.889276759	0.000916176	0.210696596	phosphatase
AT1G73260.1	AT1G73260	843660	105.9743394	16.99382691	2.640632293	1.70E-06	0.002003014	protease
AT1G73780.1	AT1G73780	28717421	20.49680711	5.744075526	1.835252568	0.012900185	0.986766624	LTP
AT1G74080.1	AT1G74080	843748	17.87910465	0.783026483	4.513069578	5.91E-05	0.027749612	MYB122
AT1G74360.1	AT1G74360	843777	368.4365531	174.4305966	1.078763078	0.000387385	0.120347745	kinase
AT1G74590.1	AT1G74590	843799	143.4712517	48.25004773	1.572159409	1.58E-06	0.001928135	GSTU10
AT1G74670.1	AT1G74670	843806	2003.532414	1007.48554	0.991786718	0.033764207	1	gibberellin-responsive
AT1G74770.1	AT1G74770	843816	29.27517711	9.853031197	1.571038368	0.028421934	1	protein binding
AT1G75270.1	AT1G75270	843864	442.5849989	279.6220114	0.662476621	0.011116026	0.900881378	DHAR2
AT1G75580.1	AT1G75580	843893	123.8540951	80.5569299	0.620560963	0.042902867	1	auxin-responsive
AT1G75750.1	AT1G75750	843908	7474.954779	21205.86959	-1.504326888	0.003476543	0.448790326	GASA1
AT1G75750.2	AT1G75750	843908	7464.334561	21179.02172	-1.504550395	0.003482674	0.448790326	GASA1
AT1G76180.1	AT1G76180	843950	3755.32407	5577.95916	-0.570799959	0.018619966	1	ERD14
AT1G76180.2	AT1G76180	843950	3768.575948	5583.34008	-0.567108966	0.019399303	1	ERD14
AT1G76680.1	AT1G76680	844001	3570.721861	2416.976365	0.563012395	0.010158405	0.858639796	OPR1
AT1G76680.2	AT1G76680	844001	3330.193321	2265.978269	0.555471904	0.011394822	0.910968434	OPR1
AT1G76930.1	AT1G76930	844028	1280.303264	456.6450989	1.487340326	0.000186305	0.070948274	ORG5
AT1G76930.2	AT1G76930	844028	1259.728403	444.2377858	1.503708707	0.000156665	0.061649378	ORG5
AT1G76970.1	AT1G76970	844033	323.4020414	224.0214605	0.529691841	0.038321781	1	VHS
AT1G77450.1	AT1G77450	844081	187.7546831	106.5950025	0.816709091	0.003181865	0.434629709	anac032
AT1G77510.1	AT1G77510	844087	1873.648456	1220.005826	0.618962256	0.015963928	1	PDI6
AT1G77760.1	AT1G77760	844112	4960.367918	7997.834173	-0.689162237	0.0135723	0.999748743	NR1
AT1G78172.1	AT1G78172	6241302	14.98022734	5.395038506	1.473354357	0.034184066	1	-
AT1G78600.1	AT1G78600	844196	934.7842649	1337.668243	-0.517015001	0.040705882	1	STH3
AT1G78600.2	AT1G78600	844196	983.7264784	1413.411451	-0.522852362	0.03577382	1	STH3
AT1G78780.1	AT1G78780	844214	116.6990153	21.06141604	2.470118045	2.79E-09	1.23E-05	pathogenesis
