Transcript ID	Locus ID	Entrez Arabidopsis ID	rbohD_Root_baseMeanB_GC	rbohD_Root_baseMeanA_FL	rbohD_Root_log2FoldChange	rbohD_Root_pval	rbohD_Root_padj	Symbol
AT1G60750.1	AT1G60750	3767587	49.80364313	21.6612145	1.201137145	0.043207548	1	oxidoreductase
AT1G61130.1	AT1G61130	842406	392.9905685	136.7164374	1.523307981	0.001027192	0.255812366	SCPL32
AT1G61560.1	AT1G61560	842450	117.8459433	297.1774437	-1.33442252	0.015737169	1	MLO6
AT1G61560.2	AT1G61560	842450	114.5098445	287.6745944	-1.328966184	0.015411722	1	MLO6
AT1G61560.3	AT1G61560	842450	114.5098445	287.6745944	-1.328966184	0.015413692	1	MLO6
AT1G61560.4	AT1G61560	842450	117.9985798	295.5637891	-1.324700034	0.016516721	1	MLO6
AT1G62180.2	AT1G62180	842514	1306.58064	852.466685	0.616080809	0.048993889	1	PRH43
AT1G62280.1	AT1G62280	842525	100.9936504	203.0708883	-1.007718841	0.033997008	1	SLAH1
AT1G62580.1	AT1G62580	842555	44.68040776	23.16681851	0.947582419	0.039249914	1	FMO
AT1G64240.1	AT1G64240	3767630	4.990197727	1.159107953	2.106082043	0.039800546	1	transposable element gene
AT1G64950.1	AT1G64950	842803	195.3628222	114.5784998	0.769819594	0.005403614	0.749399546	CYP89A5
AT1G65390.1	AT1G65390	842851	2.060378625	6.508846341	-1.659492378	0.039359059	1	PP2-A5
AT1G65390.2	AT1G65390	842851	2.060378625	6.508846341	-1.659492378	0.03914141	1	PP2-A5
AT1G65481.1	AT1G65481	6241153	17.00162734	1.70336628	3.319212243	0.019734338	1	other RNA
AT1G65483.1	AT1G65483	5007835	2.880458842	0.103646176	4.796559845	0.037680633	1	-
AT1G65800.1	AT1G65800	842891	6.869121228	1.632504621	2.07303847	0.002218146	0.437471114	ARK2
AT1G65810.1	AT1G65810	842892	0.308578814	1.675046363	-2.44049011	0.041721605	1	nuclease
AT1G65810.2	AT1G65810	842892	0.308578814	1.675046363	-2.44049011	0.041763728	1	nuclease
AT1G65860.1	AT1G65860	842897	54.5100199	119.6611298	-1.134361238	0.048076253	1	FMO GS-OX1
AT1G66600.1	AT1G66600	842978	19.67422156	4.735386255	2.054752542	0.017970466	1	WRKY63
AT1G66780.1	AT1G66780	842996	2.521251523	0.558313191	2.174993504	0.026270995	1	MATE efflux
AT1G66940.2	AT1G66940	843012	9.625803052	18.21011214	-0.919760996	0.040425139	1	kinase
AT1G66940.3	AT1G66940	843012	9.728806902	18.74260808	-0.945986926	0.035925194	1	kinase
AT1G67270.1	AT1G67270	843047	20.00903937	0.812822076	4.621568509	0.001994499	0.409207684	-
AT1G67800.1	AT1G67800	843106	344.4486666	229.0447343	0.588659597	0.019822917	1	copine
AT1G67800.2	AT1G67800	843106	342.7584205	227.850446	0.589104914	0.020348278	1	copine
AT1G67800.3	AT1G67800	843106	340.6973927	226.8728131	0.58660717	0.020900806	1	copine
AT1G67800.4	AT1G67800	843106	340.6973927	226.8728131	0.58660717	0.020900806	1	copine
AT1G67810.1	AT1G67810	843107	119.570659	55.69494017	1.102245244	0.002581848	0.480703777	SUFE2
AT1G67850.1	AT1G67850	843111	130.203351	86.76730077	0.585543225	0.048672685	1	-
AT1G68600.1	AT1G68600	843190	2.061248567	4.786463105	-1.215441498	0.039076702	1	-
AT1G68690.1	AT1G68690	3767664	272.5864605	188.5219046	0.531981743	0.045100673	1	kinase
AT1G69530.1	AT1G69530	843288	849.3787623	537.0190269	0.661434832	0.041130267	1	EXP1
AT1G69530.2	AT1G69530	843288	866.3182524	547.98019	0.660773374	0.041186561	1	EXP1
AT1G69530.3	AT1G69530	843288	881.4222158	554.7821902	0.667911785	0.038881523	1	EXP1
AT1G69530.4	AT1G69530	843288	879.5177344	552.5112976	0.670708703	0.038497364	1	EXP1
AT1G69530.5	AT1G69530	843288	902.7338309	567.1427483	0.670588772	0.038197073	1	EXP1
AT1G69920.1	AT1G69920	843328	31.69941199	1.929388287	4.038240661	0.006369527	0.828060865	GSTU12
AT1G69930.1	AT1G69930	843329	8.803298417	0.39350241	4.483599798	0.002436192	0.470121531	GSTU11
AT1G70080.1	AT1G70080	843344	3.701742412	24.50987373	-2.727086639	0.000106582	0.054095544	terpene synthase/cyclase
AT1G70890.1	AT1G70890	843427	145.4975342	221.1951981	-0.604325363	0.023293567	1	MLP43
AT1G71050.1	AT1G71050	843445	7.558460583	18.01713146	-1.253204997	0.00804814	0.952688886	CCH
AT1G71140.1	AT1G71140	843454	6.970782338	0.310938529	4.486619281	9.84E-07	0.001403427	MATE efflux
AT1G71520.1	AT1G71520	843492	6.213321762	1.724448575	1.84922966	0.033169749	1	AP2
AT1G71890.1	AT1G71890	843520	5.302078018	1.408654745	1.912239842	0.029798949	1	SUC5
AT1G72680.1	AT1G72680	843600	530.329961	333.602503	0.668760143	0.008365156	0.976229616	cinnamyl-alcohol dehydrogenase
AT1G73120.1	AT1G73120	843643	13.02432669	1.413403255	3.203963751	0.037591158	1	-
AT1G73220.1	AT1G73220	843656	160.7478282	52.86914138	1.604301444	0.005701186	0.773960064	43009
AT1G73310.1	AT1G73310	843665	180.8861515	256.8065369	-0.505599966	0.040723286	1	scpl4
AT1G73600.1	AT1G73600	843694	1691.432011	2752.980358	-0.702749129	0.018856472	1	methyltransferase
AT1G73600.2	AT1G73600	843694	1685.716737	2756.784881	-0.709624564	0.018110043	1	methyltransferase
AT1G73602.1	AT1G73602	N/A	1691.226004	2752.525691	-0.702686565	0.018857227	1	CPuORF32
AT1G74590.1	AT1G74590	843799	155.8556602	96.00823755	0.69898045	0.013976382	1	GSTU10
AT1G74810.1	AT1G74810	843820	25.26377909	4.593602767	2.459372452	3.69E-05	0.024434173	BOR5
AT1G75270.1	AT1G75270	843864	911.1093095	597.5360318	0.608598439	0.012386836	1	DHAR2
AT1G75440.1	AT1G75440	843880	313.6854351	452.302431	-0.527969206	0.032056745	1	UBC16
AT1G75910.1	AT1G75910	843924	0	2.791565953	-	0.026622762	1	EXL4
AT1G75940.1	AT1G75940	843927	0	7.258071478	-	0.007402196	0.911158694	BGLU20
AT1G76370.1	AT1G76370	843969	0.102787482	3.465287713	-5.075238661	0.013307569	1	kinase
AT1G76420.1	AT1G76420	843975	3.244482217	12.15563536	-1.905565139	0.005303677	0.741534083	NAC368
AT1G76520.1	AT1G76520	843985	249.488794	131.7687949	0.920966261	0.002969285	0.528360075	auxin efflux carrier
AT1G76520.2	AT1G76520	843985	248.4586047	130.51791	0.928757716	0.002916784	0.524610517	auxin efflux carrier
AT1G76620.1	AT1G76620	843995	32.41558481	102.2674735	-1.657587858	2.38E-07	0.000551822	-
AT1G76680.1	AT1G76680	844001	3088.171963	1336.60092	1.208184318	8.20E-07	0.001266302	OPR1
AT1G76680.2	AT1G76680	844001	2859.161615	1247.297049	1.196787081	9.85E-07	0.001403427	OPR1
AT1G76690.1	AT1G76690	844002	806.9781105	428.467835	0.913342635	0.000309051	0.120533294	OPR2
AT1G77450.1	AT1G77450	844081	435.6106524	234.1446901	0.895638913	0.00049534	0.15879367	anac032
AT1G77760.1	AT1G77760	844112	5468.470397	12673.32818	-1.212586191	2.97E-06	0.003554497	NR1
AT1G77990.1	AT1G77990	844134	88.34998794	222.7097965	-1.333863177	2.39E-05	0.016732561	SULTR2;2
AT1G77992.1	AT1G77992	6241096	20.92213739	52.00304311	-1.313565806	0.00063787	0.195320034	other RNA
AT1G78340.1	AT1G78340	844169	138.0749517	36.66891256	1.912822235	0.001524702	0.338273853	GSTU22
AT1G78380.1	AT1G78380	844174	7407.107749	5009.807331	0.564155203	0.023084777	1	GST8
AT1G78460.1	AT1G78460	844182	24.11593067	41.39112538	-0.779334987	0.04118561	1	SOUL heme-binding
AT1G78520.1	AT1G78520	844188	77.93311655	153.1826025	-0.974944039	0.043445861	1	-
AT1G78970.1	AT1G78970	844237	98.23122202	175.0354711	-0.833393763	0.027260734	1	LUP1
AT1G78970.2	AT1G78970	844237	95.9209699	170.9271342	-0.833463287	0.025133654	1	LUP1
AT1G80240.1	AT1G80240	844364	102.183662	500.7618128	-2.292960005	0.000805822	0.225493351	-
AT1G80380.1	AT1G80380	844378	430.6497129	734.9279104	-0.771087872	0.01217097	1	kinase
AT1G80380.2	AT1G80380	844378	660.1436967	1122.933053	-0.766419918	0.012411511	1	kinase
AT1G80380.3	AT1G80380	844378	662.4004064	1127.621223	-0.767507073	0.01229832	1	kinase
AT1G80380.4	AT1G80380	844378	653.5530267	1106.688138	-0.759872531	0.013399609	1	kinase
AT1G80830.1	AT1G80830	844422	966.5238804	1464.62428	-0.599653335	0.035949976	1	PMIT1
AT2G01422.1	AT2G01422	10723131	5.110995916	0.765605543	2.738931258	0.000286108	0.116489955	-
AT2G01422.2	AT2G01422	10723131	3.21724813	0.219054745	3.876463836	0.00018117	0.084968598	-
AT2G01918.1	AT2G01918	3768499	0.101967203	0.939993037	-3.204544877	0.028480393	1	calcium ion binding
AT2G01940.1	AT2G01940	814725	72.36632717	111.9503157	-0.629468139	0.026313808	1	SGR5
AT2G01940.2	AT2G01940	814725	57.26439186	89.72599623	-0.647887715	0.024952324	1	SGR5
AT2G01940.3	AT2G01940	814725	72.05608297	111.003402	-0.623411759	0.027614659	1	SGR5
AT2G02450.1	AT2G02450	814775	7.905555255	19.4281253	-1.297207996	0.004606703	0.672404945	ANAC035
AT2G02450.2	AT2G02450	814775	7.70080057	19.40933548	-1.333670385	0.003328916	0.558098098	ANAC035
AT2G03310.1	AT2G03310	814860	0.56402756	2.012012338	-1.834801588	0.035725525	1	-
AT2G03760.1	AT2G03760	814903	297.259704	178.2778627	0.737596337	0.004372492	0.655891449	ST
AT2G04040.1	AT2G04040	814938	42.04872435	11.92787515	1.817724972	0.003002488	0.52973888	TX1
AT2G04060.1	AT2G04060	814940	5.64631471	0	Inf	0.021411997	1	lactase
AT2G04070.1	AT2G04070	814943	15.69792279	0.972837725	4.012230682	0.003241689	0.550953302	antiporter/ drug transporter/ transporter
AT2G04460.1	AT2G04460	814986	20.09708484	0.449932053	5.481135288	5.52E-06	0.005110274	transposable element gene
AT2G05510.1	AT2G05510	815100	552.8535295	80.55326659	2.778882311	0.038717803	1	glycine-rich
AT2G05510.2	AT2G05510	815100	552.9534234	81.28118569	2.766164611	0.038891131	1	glycine-rich
AT2G05510.3	AT2G05510	815100	550.7500602	80.57685154	2.772960408	0.038585989	1	glycine-rich
AT2G05510.4	AT2G05510	815100	544.992484	79.13980316	2.783760952	0.038514421	1	glycine-rich
AT2G05510.5	AT2G05510	815100	553.2136227	81.03854599	2.771156488	0.038770153	1	glycine-rich
AT2G05510.6	AT2G05510	815100	540.2899291	79.56381117	2.763549501	0.038507961	1	glycine-rich
AT2G13360.1	AT2G13360	815822	62.44124699	135.6365727	-1.119174982	0.005919761	0.788584787	AGT1
AT2G13360.2	AT2G13360	815822	62.44124699	135.6365727	-1.119174982	0.005920077	0.788584787	AGT1
AT2G14210.1	AT2G14210	815907	5.03590009	18.48323373	-1.87589562	0.032678602	1	ANR1
AT2G15220.1	AT2G15220	816011	28.25005822	11.11935411	1.345180853	0.016706946	1	secretory
AT2G15490.1	AT2G15490	816041	459.9247744	100.8203942	2.189610412	8.75E-05	0.047655647	UGT73B4
AT2G15490.2	AT2G15490	816041	316.6182026	65.40105459	2.275358395	5.72E-05	0.034747874	UGT73B4
AT2G15490.3	AT2G15490	816041	459.6161956	100.8203942	2.188642135	8.88E-05	0.047667407	UGT73B4
AT2G15620.1	AT2G15620	816055	4141.965936	5694.357166	-0.459217297	0.047641796	1	NIR1
AT2G15830.1	AT2G15830	816079	17.79724537	8.516003378	1.063405533	0.029856183	1	-
AT2G16380.1	AT2G16380	816135	16.56661665	27.91389005	-0.752704195	0.036364065	1	SEC14 cytosolic factor
AT2G16810.1	AT2G16810	816182	1.750567158	0	Inf	0.018272585	1	FBX8
AT2G17040.1	AT2G17040	816209	6.625508336	2.011952168	1.719435142	0.016601272	1	anac036
AT2G19500.1	AT2G19500	816469	11.75945617	1.809184586	2.700409827	0.004504203	0.66754089	CKX2
AT2G21200.1	AT2G21200	816657	7.707146433	14.98936509	-0.959670568	0.025198424	1	auxin-responsive
AT2G21210.1	AT2G21210	816658	48.25280668	91.45991229	-0.922526675	0.010645497	1	auxin-responsive
AT2G21540.1	AT2G21540	816693	174.6582339	268.2424281	-0.61900279	0.017749101	1	SFH3
AT2G21540.2	AT2G21540	816693	177.4342647	272.8527689	-0.620838046	0.017228319	1	SFH3
AT2G21540.3	AT2G21540	816693	170.2336031	262.2120744	-0.623218276	0.018461007	1	SFH3
AT2G21640.1	AT2G21640	816702	43.58024725	24.57079847	0.82672964	0.020396073	1	-
AT2G22190.1	AT2G22190	816753	279.0907688	396.7779885	-0.507597587	0.023136182	1	catalytic/ trehalose-phosphatase
AT2G22200.1	AT2G22200	816754	11.6728675	24.38813526	-1.063020442	0.005023049	0.718115016	AP2
AT2G22630.1	AT2G22630	816794	46.09014979	165.8154966	-1.847048482	0.011092506	1	AGL17
AT2G22980.1	AT2G22980	816829	52.39596259	93.95678121	-0.842541642	0.024003085	1	SCPL13
AT2G22980.2	AT2G22980	816829	50.48858311	89.41001782	-0.824479295	0.026997951	1	SCPL13
AT2G22980.3	AT2G22980	816829	52.39596259	93.95678121	-0.842541642	0.024016155	1	SCPL13
