"input" "reason" "matches" "primaryIdentifier" "symbol" "briefDescription" "class" "isObsolete"
"AT3G42203" "MATCH" "1" "AT3G42203" "AT3G42203" "transposable_element_gene" "TransposableElementGene" ""
"AT3G21352" "MATCH" "1" "AT3G21352" "AT3G21352" "transmembrane protein" "Gene" ""
"AT4G12550" "MATCH" "1" "AT4G12550" "AIR1" "Auxin-Induced in Root cultures 1" "Gene" ""
"AT1G36610" "MATCH" "1" "AT1G36610" "AT1G36610" "transposable_element_gene" "TransposableElementGene" ""
"AT2G32160" "MATCH" "1" "AT2G32160" "AT2G32160" "S-adenosyl-L-methionine-dependent methyltransferases superfamily protein" "Gene" ""
"AT3G42478" "MATCH" "1" "AT3G42478" "AT3G42478" "transposable_element_gene" "TransposableElementGene" ""
"AT3G42476" "MATCH" "1" "AT3G42476" "AT3G42476" "transposable_element_gene" "TransposableElementGene" ""
"AT4G11030" "MATCH" "1" "AT4G11030" "AT4G11030" "AMP-dependent synthetase and ligase family protein" "Gene" ""
"AT3G42475" "MATCH" "1" "AT3G42475" "" "" "Gene" "true"
"AT3G42474" "MATCH" "1" "AT3G42474" "AT3G42474" "transposable_element_gene" "TransposableElementGene" ""
"AT4G16560" "MATCH" "1" "AT4G16560" "AT4G16560" "HSP20-like chaperone" "Gene" ""
"AT3G42473" "MATCH" "1" "AT3G42473" "LCR47" "low-molecular-weight cysteine-rich 47" "Gene" ""
"AT3G42472" "MATCH" "1" "AT3G42472" "AT3G42472" "transposable_element_gene" "TransposableElementGene" ""
"AT1G74140" "MATCH" "1" "AT1G74140" "AT1G74140" "Rhomboid-related intramembrane serine protease family protein" "Gene" ""
"AT1G12940" "MATCH" "1" "AT1G12940" "NRT2.5" "nitrate transporter2.5" "Gene" ""
"AT3G42471" "MATCH" "1" "AT3G42471" "AT3G42471" "transposable_element_gene" "TransposableElementGene" ""
"AT3G42470" "MATCH" "1" "AT3G42470" "AT3G42470" "transposable_element_gene" "TransposableElementGene" ""
"AT5G06500" "MATCH" "1" "AT5G06500" "AGL96" "AGAMOUS-like 96" "Gene" ""
"AT3G42330" "MATCH" "1" "AT3G42330" "AT3G42330" "transposable_element_gene" "TransposableElementGene" ""
"AT2G02310" "MATCH" "1" "AT2G02310" "PP2-B6" "phloem protein 2-B6" "Gene" ""
"AT2G38920" "MATCH" "1" "AT2G38920" "AT2G38920" "SPX (SYG1/Pho81/XPR1) domain-containing protein / zinc finger (C3HC4-type RING finger) protein-like protein" "Gene" ""
"AT3G42200" "MATCH" "1" "AT3G42200" "AT3G42200" "transposable_element_gene" "TransposableElementGene" ""
"AT3G17520" "MATCH" "1" "AT3G17520" "AT3G17520" "Late embryogenesis abundant protein (LEA) family protein" "Gene" ""
"AT1G12030" "MATCH" "1" "AT1G12030" "AT1G12030" "phosphoenolpyruvate carboxylase, putative (DUF506)" "Gene" ""
"AT3G43330" "MATCH" "1" "AT3G43330" "AT3G43330" "transposable_element_gene" "TransposableElementGene" ""
"AT4G10860" "MATCH" "1" "AT4G10860" "AT4G10860" "hypothetical protein" "Gene" ""
"AT3G26830" "MATCH" "1" "AT3G26830" "PAD3" "Cytochrome P450 superfamily protein" "Gene" ""
"AT3G25190" "MATCH" "1" "AT3G25190" "AT3G25190" "Vacuolar iron transporter (VIT) family protein" "Gene" ""
"AT5G42591" "MATCH" "1" "AT5G42591" "" "" "Gene" "true"
"AT5G40590" "MATCH" "1" "AT5G40590" "AT5G40590" "Cysteine/Histidine-rich C1 domain family protein" "Gene" ""
"AT1G02230" "MATCH" "1" "AT1G02230" "NAC004" "NAC domain containing protein 4" "Gene" ""
"AT4G37370" "MATCH" "1" "AT4G37370" "CYP81D8" "cytochrome P450, family 81, subfamily D, polypeptide 8" "Gene" ""
"AT1G07460" "MATCH" "1" "AT1G07460" "AT1G07460" "Concanavalin A-like lectin family protein" "Gene" ""
"AT2G41240" "MATCH" "1" "AT2G41240" "BHLH100" "basic helix-loop-helix protein 100" "Gene" ""
"AT3G42460" "MATCH" "1" "AT3G42460" "AT3G42460" "transposable_element_gene" "TransposableElementGene" ""
"AT1G14250" "MATCH" "1" "AT1G14250" "AT1G14250" "GDA1/CD39 nucleoside phosphatase family protein" "Gene" ""
"AT4G03450" "MATCH" "1" "AT4G03450" "AT4G03450" "Ankyrin repeat family protein" "Gene" ""
"AT5G20470" "MATCH" "1" "AT5G20470" "HDK" "myosin" "Gene" ""
"AT3G42466" "MATCH" "1" "AT3G42466" "AT3G42466" "pseudogene of Leucine-rich repeat protein kinase family protein" "Pseudogene" ""
"ATMG01270" "MATCH" "1" "ATMG01270" "RPS7" "mitochondrial ribosomal protein S7" "Gene" ""
"AT4G19320" "MATCH" "1" "AT4G19320" "AT4G19320" "transposable_element_gene" "TransposableElementGene" ""
"AT3G42360" "MATCH" "1" "AT3G42360" "AT3G42360" "transposable_element_gene" "TransposableElementGene" ""
"AT5G11410" "MATCH" "1" "AT5G11410" "AT5G11410" "Protein kinase superfamily protein" "Gene" ""
"AT2G01020" "MATCH" "1" "AT2G01020" "AT2G01020" "" "Gene" ""
"AT4G23310" "MATCH" "1" "AT4G23310" "CRK23" "cysteine-rich RLK (RECEPTOR-like protein kinase) 23" "Gene" ""
"AT2G38240" "MATCH" "1" "AT2G38240" "AT2G38240" "2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein" "Gene" ""
"AT5G12020" "MATCH" "1" "AT5G12020" "HSP17.6II" "17.6 kDa class II heat shock protein" "Gene" ""
"AT5G39110" "MATCH" "1" "AT5G39110" "AT5G39110" "RmlC-like cupins superfamily protein" "Gene" ""
"AT1G34520" "MATCH" "1" "AT1G34520" "AT1G34520" "MBOAT (membrane bound O-acyl transferase) family protein" "Gene" ""
"AT1G08090" "MATCH" "1" "AT1G08090" "NRT2:1" "nitrate transporter 2:1" "Gene" ""
"AT3G42450" "MATCH" "1" "AT3G42450" "AT3G42450" "transposable_element_gene" "TransposableElementGene" ""
"AT1G60470" "MATCH" "1" "AT1G60470" "GolS4" "galactinol synthase 4" "Gene" ""
"AT3G46800" "MATCH" "1" "AT3G46800" "AT3G46800" "Cysteine/Histidine-rich C1 domain family protein" "Gene" ""
"AT3G19430" "MATCH" "1" "AT3G19430" "AT3G19430" "late embryogenesis abundant protein-related / LEA protein-like protein" "Gene" ""
"AT4G37160" "MATCH" "1" "AT4G37160" "sks15" "SKU5 similar 15" "Gene" ""
"AT3G21720" "MATCH" "1" "AT3G21720" "ICL" "isocitrate lyase" "Gene" ""
"AT1G78340" "MATCH" "1" "AT1G78340" "GSTU22" "glutathione S-transferase TAU 22" "Gene" ""
"AT4G19970" "MATCH" "1" "AT4G19970" "AT4G19970" "nucleotide-diphospho-sugar transferase family protein" "Gene" ""
"AT3G42356" "MATCH" "1" "AT3G42356" "AT3G42356" "transposable_element_gene" "TransposableElementGene" ""
"AT3G55790" "MATCH" "1" "AT3G55790" "AT3G55790" "transmembrane protein" "Gene" ""
"AT3G42353" "MATCH" "1" "AT3G42353" "AT3G42353" "transposable_element_gene" "TransposableElementGene" ""
"AT1G19390" "MATCH" "1" "AT1G19390" "AT1G19390" "Wall-associated kinase family protein" "Gene" ""
"AT1G58320" "MATCH" "1" "AT1G58320" "AT1G58320" "PLAC8 family protein" "Gene" ""
"AT1G58225" "MATCH" "1" "AT1G58225" "AT1G58225" "hypothetical protein" "Gene" ""
"AT3G42350" "MATCH" "1" "AT3G42350" "AT3G42350" "transposable_element_gene" "TransposableElementGene" ""
"AT2G15500" "MATCH" "1" "AT2G15500" "AT2G15500" "RNA-binding protein" "Gene" ""
"AT5G40990" "MATCH" "1" "AT5G40990" "GLIP1" "GDSL lipase 1" "Gene" ""
"AT1G09240" "MATCH" "1" "AT1G09240" "NAS3" "nicotianamine synthase 3" "Gene" ""
"AT1G15520" "MATCH" "1" "AT1G15520" "ABCG40" "pleiotropic drug resistance 12" "Gene" ""
"AT2G30760" "MATCH" "1" "AT2G30760" "AT2G30760" "hypothetical protein" "Gene" ""
"AT1G35230" "MATCH" "1" "AT1G35230" "AGP5" "arabinogalactan protein 5" "Gene" ""
"AT5G06870" "MATCH" "1" "AT5G06870" "PGIP2" "polygalacturonase inhibiting protein 2" "Gene" ""
"AT4G23320" "MATCH" "1" "AT4G23320" "CRK24" "cysteine-rich RLK (RECEPTOR-like protein kinase) 24" "Gene" ""
"AT1G28170" "MATCH" "1" "AT1G28170" "SOT7" "sulfotransferase 7" "Gene" ""
"AT2G35070" "MATCH" "1" "AT2G35070" "AT2G35070" "transmembrane protein" "Gene" ""
"AT5G03545" "MATCH" "1" "AT5G03545" "AT5G03545" "expressed in response to phosphate starvation protein" "Gene" ""
"AT5G42530" "MATCH" "1" "AT5G42530" "AT5G42530" "hypothetical protein" "Gene" ""
"AT3G42383" "MATCH" "1" "AT3G42383" "AT3G42383" "transposable_element_gene" "TransposableElementGene" ""
"AT4G35180" "MATCH" "1" "AT4G35180" "LHT7" "LYS/HIS transporter 7" "Gene" ""
"AT3G42385" "MATCH" "1" "AT3G42385" "" "" "Gene" "true"
"ATMG01290" "MATCH" "1" "ATMG01290" "ORF111C" "hypothetical protein" "Gene" ""
"AT3G42386" "MATCH" "1" "AT3G42386" "AT3G42386" "transposable_element_gene" "TransposableElementGene" ""
"AT1G78355" "MATCH" "1" "AT1G78355" "AT1G78355" "transposable_element_gene" "TransposableElementGene" ""
"AT1G25083" "MATCH" "1" "AT1G25083" "AT1G25083" "Glutamine amidotransferase type 1 family protein" "Gene" ""
"AT5G17720" "MATCH" "1" "AT5G17720" "AT5G17720" "alpha/beta-Hydrolases superfamily protein" "Gene" ""
"AT1G78350" "MATCH" "1" "AT1G78350" "AT1G78350" "transposable_element_gene" "TransposableElementGene" ""
"AT5G52390" "MATCH" "1" "AT5G52390" "AT5G52390" "PAR1 protein" "Gene" ""
"AT2G23673" "MATCH" "1" "AT2G23673" "AT2G23673" "pseudogene of Cold acclimation protein WCOR413 family" "Pseudogene" ""
"AT1G02850" "MATCH" "1" "AT1G02850" "BGLU11" "beta glucosidase 11" "Gene" ""
"AT2G30766" "MATCH" "1" "AT2G30766" "AT2G30766" "hypothetical protein" "Gene" ""
"AT3G42380" "MATCH" "1" "AT3G42380" "" "" "Gene" "true"
"AT2G30750" "MATCH" "1" "AT2G30750" "CYP71A12" "cytochrome P450 family 71 polypeptide" "Gene" ""
"AT3G21500" "MATCH" "1" "AT3G21500" "DXPS1" "1-deoxy-D-xylulose 5-phosphate synthase 1" "Gene" ""
"AT5G55420" "MATCH" "1" "AT5G55420" "AT5G55420" "pseudogene of Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein" "Pseudogene" ""
"AT2G20800" "MATCH" "1" "AT2G20800" "NDB4" "NAD(P)H dehydrogenase B4" "Gene" ""
"AT1G65570" "MATCH" "1" "AT1G65570" "AT1G65570" "Pectin lyase-like superfamily protein" "Gene" ""
"AT2G40750" "MATCH" "1" "AT2G40750" "WRKY54" "WRKY DNA-binding protein 54" "Gene" ""
"AT1G29290" "MATCH" "1" "AT1G29290" "AT1G29290" "B-cell lymphoma 6 protein" "Gene" ""
"AT5G42830" "MATCH" "1" "AT5G42830" "AT5G42830" "HXXXD-type acyl-transferase family protein" "Gene" ""
"AT3G43570" "MATCH" "1" "AT3G43570" "AT3G43570" "GDSL-like Lipase/Acylhydrolase superfamily protein" "Gene" ""
"AT4G11170" "MATCH" "1" "AT4G11170" "AT4G11170" "Disease resistance protein (TIR-NBS-LRR class) family" "Gene" ""
"AT4G14368" "MATCH" "1" "AT4G14368" "AT4G14368" "Regulator of chromosome condensation (RCC1) family protein" "Gene" ""
"AT5G52260" "MATCH" "1" "AT5G52260" "MYB19" "myb domain protein 19" "Gene" ""
"AT2G16490" "MATCH" "1" "AT2G16490" "AT2G16490" "XH domain-containing protein" "Gene" ""
"AT5G50700" "MATCH" "1" "AT5G50700" "HSD1" "hydroxysteroid dehydrogenase 1" "Gene" ""
"AT2G46960" "MATCH" "1" "AT2G46960" "CYP709B1" "cytochrome P450, family 709, subfamily B, polypeptide 1" "Gene" ""
"AT1G78360" "MATCH" "1" "AT1G78360" "GSTU21" "glutathione S-transferase TAU 21" "Gene" ""
"AT3G45670" "MATCH" "1" "AT3G45670" "AT3G45670" "Protein kinase superfamily protein" "Gene" ""
"AT5G38096" "MATCH" "1" "AT5G38096" "AT5G38096" "pseudogene of S-adenosyl-L-methionine-dependent methyltransferases superfamily protein" "Pseudogene" ""
"AT3G27950" "MATCH" "1" "AT3G27950" "AT3G27950" "GDSL-like Lipase/Acylhydrolase superfamily protein" "Gene" ""
"AT4G12545" "MATCH" "1" "AT4G12545" "AT4G12545" "Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein" "Gene" ""
"AT2G32960" "MATCH" "1" "AT2G32960" "PFA-DSP2" "Phosphotyrosine protein phosphatases superfamily protein" "Gene" ""
"AT5G05050" "MATCH" "1" "AT5G05050" "AT5G05050" "Cysteine proteinases superfamily protein" "Gene" ""
"AT3G11310" "MATCH" "1" "AT3G11310" "AT3G11310" "Myb/SANT-like DNA-binding domain protein" "Gene" ""
"AT1G15540" "MATCH" "1" "AT1G15540" "AT1G15540" "2-oxoglutarate-dependent dioxygenase-like protein" "Gene" ""
"AT1G09500" "MATCH" "1" "AT1G09500" "AT1G09500" "NAD(P)-binding Rossmann-fold superfamily protein" "Gene" ""
"AT3G05450" "MATCH" "1" "AT3G05450" "AT3G05450" "cystatin-like protein" "Gene" ""
"AT3G62170" "MATCH" "1" "AT3G62170" "VGDH2" "VANGUARD-like protein" "Gene" ""
"AT3G63360" "MATCH" "1" "AT3G63360" "AT3G63360" "defensin-like protein" "Gene" ""
"AT3G13433" "MATCH" "1" "AT3G13433" "AT3G13433" "transmembrane protein" "Gene" ""
"AT2G08986" "MATCH" "1" "AT2G08986" "AT2G08986" "hypothetical protein" "Gene" ""
"AT2G41810" "MATCH" "1" "AT2G41810" "AT2G41810" "imidazolonepropionase (Protein of unknown function, DUF642)" "Gene" ""
"AT4G37710" "MATCH" "1" "AT4G37710" "AT4G37710" "VQ motif-containing protein" "Gene" ""
"AT2G40740" "MATCH" "1" "AT2G40740" "WRKY55" "WRKY DNA-binding protein 55" "Gene" ""
"AT1G07550" "MATCH" "1" "AT1G07550" "AT1G07550" "Leucine-rich repeat protein kinase family protein" "Gene" ""
"AT2G39330" "MATCH" "1" "AT2G39330" "JAL23" "jacalin-related lectin 23" "Gene" ""
"AT3G43850" "MATCH" "1" "AT3G43850" "AT3G43850" "hypothetical protein" "Gene" ""
"AT5G02780" "MATCH" "1" "AT5G02780" "GSTL1" "glutathione transferase lambda 1" "Gene" ""
"AT2G17740" "MATCH" "1" "AT2G17740" "AT2G17740" "Cysteine/Histidine-rich C1 domain family protein" "Gene" ""
"AT1G07560" "MATCH" "1" "AT1G07560" "AT1G07560" "Leucine-rich repeat protein kinase family protein" "Gene" ""
"AT2G29010" "MATCH" "1" "AT2G29010" "AT2G29010" "pseudogene of Leucine-rich repeat protein kinase family protein" "Pseudogene" ""
"AT5G05040" "MATCH" "1" "AT5G05040" "AT5G05040" "Cystatin/monellin superfamily protein" "Gene" ""
"AT4G15210" "MATCH" "1" "AT4G15210" "BAM5" "beta-amylase 5" "Gene" ""
"AT3G11300" "MATCH" "1" "AT3G11300" "AT3G11300" "hypothetical protein" "Gene" ""
"AT2G27550" "MATCH" "1" "AT2G27550" "ATC" "centroradiali" "Gene" ""
"AT5G03350" "MATCH" "1" "AT5G03350" "AT5G03350" "Legume lectin family protein" "Gene" ""
"AT3G43550" "MATCH" "1" "AT3G43550" "AT3G43550" "GDSL-like Lipase/Acylhydrolase superfamily protein" "Gene" ""
"AT2G28270" "MATCH" "1" "AT2G28270" "AT2G28270" "Cysteine/Histidine-rich C1 domain family protein" "Gene" ""
"AT3G25882" "MATCH" "1" "AT3G25882" "NIMIN-2" "NIM1-interacting 2" "Gene" ""
"AT1G22210" "MATCH" "1" "AT1G22210" "TPPC" "Haloacid dehalogenase-like hydrolase (HAD) superfamily protein" "Gene" ""
"AT3G43350" "MATCH" "1" "AT3G43350" "AT3G43350" "transposable_element_gene" "TransposableElementGene" ""
"AT3G43250" "MATCH" "1" "AT3G43250" "AT3G43250" "coiled-coil protein (DUF572)" "Gene" ""
"AT2G35980" "MATCH" "1" "AT2G35980" "YLS9" "Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family" "Gene" ""
"AT3G42490" "MATCH" "1" "AT3G42490" "AT3G42490" "transposable_element_gene" "TransposableElementGene" ""
"AT2G29100" "MATCH" "1" "AT2G29100" "GLR2.9" "glutamate receptor 2.9" "Gene" ""
"AT1G32350" "MATCH" "1" "AT1G32350" "AOX1D" "alternative oxidase 1D" "Gene" ""
"AT1G61563" "MATCH" "1" "AT1G61563" "RALFL8" "ralf-like 8" "Gene" ""
"AT3G42390" "MATCH" "1" "AT3G42390" "AT3G42390" "hypothetical protein" "Gene" ""
"AT3G42400" "MATCH" "1" "AT3G42400" "AT3G42400" "transposable_element_gene" "TransposableElementGene" ""
"AT3G42270" "MATCH" "1" "AT3G42270" "AT3G42270" "transposable_element_gene" "TransposableElementGene" ""
"AT5G19890" "MATCH" "1" "AT5G19890" "AT5G19890" "Peroxidase superfamily protein" "Gene" ""
"AT5G36140" "MATCH" "1" "AT5G36140" "CYP716A2" "cytochrome P450, family 716, subfamily A, polypeptide 2" "Gene" ""
"AT3G42130" "MATCH" "1" "AT3G42130" "AT3G42130" "glycine-rich protein" "Gene" ""
"AT2G29220" "MATCH" "1" "AT2G29220" "AT2G29220" "Concanavalin A-like lectin protein kinase family protein" "Gene" ""
"AT3G61390" "MATCH" "1" "AT3G61390" "AT3G61390" "RING/U-box superfamily protein" "Gene" ""
"AT1G50735" "MATCH" "1" "AT1G50735" "SADHU8-1" "transposable_element_gene" "TransposableElementGene" ""
"AT3G42545" "MATCH" "1" "AT3G42545" "AT3G42545" "transposable_element_gene" "TransposableElementGene" ""
"AT3G28510" "MATCH" "1" "AT3G28510" "AT3G28510" "P-loop containing nucleoside triphosphate hydrolases superfamily protein" "Gene" ""
"AT1G51900" "MATCH" "1" "AT1G51900" "AT1G51900" "Regulator of Vps4 activity in the MVB pathway protein" "Gene" ""
"AT1G26400" "MATCH" "1" "AT1G26400" "AT1G26400" "FAD-binding Berberine family protein" "Gene" ""
"AT2G29370" "MATCH" "1" "AT2G29370" "AT2G29370" "NAD(P)-binding Rossmann-fold superfamily protein" "Gene" ""
"AT5G53190" "MATCH" "1" "AT5G53190" "SWEET3" "Nodulin MtN3 family protein" "Gene" ""
"AT3G02620" "MATCH" "1" "AT3G02620" "AT3G02620" "Plant stearoyl-acyl-carrier-protein desaturase family protein" "Gene" ""
"AT2G30660" "MATCH" "1" "AT2G30660" "AT2G30660" "ATP-dependent caseinolytic (Clp) protease/crotonase family protein" "Gene" ""
"AT3G42542" "MATCH" "1" "AT3G42542" "AT3G42542" "pseudogene of low-molecular-weight cysteine-rich 47" "Pseudogene" ""
"AT4G08880" "MATCH" "1" "AT4G08880" "AT4G08880" "transposable_element_gene" "TransposableElementGene" ""
"AT3G42540" "MATCH" "1" "AT3G42540" "AT3G42540" "transposable_element_gene" "TransposableElementGene" ""
"AT2G37870" "MATCH" "1" "AT2G37870" "AT2G37870" "Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein" "Gene" ""
"AT3G63380" "MATCH" "1" "AT3G63380" "AT3G63380" "ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein" "Gene" ""
"AT1G67810" "MATCH" "1" "AT1G67810" "SUFE2" "sulfur E2" "Gene" ""
"AT5G48850" "MATCH" "1" "AT5G48850" "ATSDI1" "Tetratricopeptide repeat (TPR)-like superfamily protein" "Gene" ""
"AT4G23230" "MATCH" "1" "AT4G23230" "CRK15" "cysteine-rich RECEPTOR-like kinase" "Gene" ""
"AT1G13470" "MATCH" "1" "AT1G13470" "AT1G13470" "hypothetical protein (DUF1262)" "Gene" ""
"AT5G64810" "MATCH" "1" "AT5G64810" "WRKY51" "WRKY DNA-binding protein 51" "Gene" ""
"AT3G42280" "MATCH" "1" "AT3G42280" "AT3G42280" "transposable_element_gene" "TransposableElementGene" ""
"AT3G42140" "MATCH" "1" "AT3G42140" "AT3G42140" "zinc ion binding / nucleic acid binding protein" "Gene" ""
"AT5G49138" "MATCH" "1" "AT5G49138" "AT5G49138" "Natural antisense transcript overlaps with AT5G49130" "Gene" ""
"AT5G19880" "MATCH" "1" "AT5G19880" "AT5G19880" "Peroxidase superfamily protein" "Gene" ""
"AT4G14450" "MATCH" "1" "AT4G14450" "AT4G14450" "hypothetical protein" "Gene" ""
"AT5G37840" "MATCH" "1" "AT5G37840" "AT5G37840" "plastid movement impaired protein" "Gene" ""
"AT3G28917" "MATCH" "1" "AT3G28917" "MIF2" "mini zinc finger 2" "Gene" ""
"AT5G49130" "MATCH" "1" "AT5G49130" "AT5G49130" "MATE efflux family protein" "Gene" ""
"AT3G42535" "MATCH" "1" "AT3G42535" "AT3G42535" "transposable_element_gene" "TransposableElementGene" ""
"AT1G44130" "MATCH" "1" "AT1G44130" "AT1G44130" "Eukaryotic aspartyl protease family protein" "Gene" ""
"AT5G48175" "MATCH" "1" "AT5G48175" "AT5G48175" "transmembrane protein" "Gene" ""
"AT1G51913" "MATCH" "1" "AT1G51913" "AT1G51913" "transmembrane protein" "Gene" ""
"AT1G57640" "MATCH" "1" "AT1G57640" "AT1G57640" "transposable_element_gene" "TransposableElementGene" ""
"AT5G51500" "MATCH" "1" "AT5G51500" "AT5G51500" "Plant invertase/pectin methylesterase inhibitor superfamily" "Gene" ""
"AT3G43530" "MATCH" "1" "AT3G43530" "AT3G43530" "transposable_element_gene" "TransposableElementGene" ""
"AT3G42530" "MATCH" "1" "AT3G42530" "AT3G42530" "transposable_element_gene" "TransposableElementGene" ""
"AT2G30650" "MATCH" "1" "AT2G30650" "AT2G30650" "ATP-dependent caseinolytic (Clp) protease/crotonase family protein" "Gene" ""
"AT3G42148" "MATCH" "1" "AT3G42148" "AT3G42148" "hypothetical protein" "Gene" ""
"AT3G55970" "MATCH" "1" "AT3G55970" "JRG21" "jasmonate-regulated gene 21" "Gene" ""
"AT5G45120" "MATCH" "1" "AT5G45120" "AT5G45120" "Eukaryotic aspartyl protease family protein" "Gene" ""
"AT5G11220" "MATCH" "1" "AT5G11220" "AT5G11220" "hypothetical protein" "Gene" ""
"AT3G15536" "MATCH" "1" "AT3G15536" "AT3G15536" "" "Gene" ""
"AT2G29240" "MATCH" "1" "AT2G29240" "AT2G29240" "transposable_element_gene" "TransposableElementGene" ""
"AT1G51915" "MATCH" "1" "AT1G51915" "AT1G51915" "cryptdin protein-like protein" "Gene" ""
"AT5G37970" "MATCH" "1" "AT5G37970" "AT5G37970" "S-adenosyl-L-methionine-dependent methyltransferase superfamily protein" "Gene" ""
"AT4G37235" "MATCH" "1" "AT4G37235" "AT4G37235" "Uncharacterized protein family (UPF0497)" "Gene" ""
"AT1G35710" "MATCH" "1" "AT1G35710" "AT1G35710" "kinase family with leucine-rich repeat domain-containing protein" "Gene" ""
"AT3G42155" "MATCH" "1" "AT3G42155" "AT3G42155" "glycosyl hydrolase family 9 protein" "Gene" ""
"AT5G36970" "MATCH" "1" "AT5G36970" "NHL25" "NDR1/HIN1-like 25" "Gene" ""
"AT1G74190" "MATCH" "1" "AT1G74190" "RLP15" "receptor like protein 15" "Gene" ""
"AT3G05950" "MATCH" "1" "AT3G05950" "AT3G05950" "RmlC-like cupins superfamily protein" "Gene" ""
"AT1G18970" "MATCH" "1" "AT1G18970" "GLP4" "germin-like protein 4" "Gene" ""
"AT4G23600" "MATCH" "1" "AT4G23600" "CORI3" "Tyrosine transaminase family protein" "Gene" ""
"AT3G42253" "MATCH" "1" "AT3G42253" "AT3G42253" "transposable_element_gene" "TransposableElementGene" ""
"AT3G42252" "MATCH" "1" "AT3G42252" "AT3G42252" "transposable_element_gene" "TransposableElementGene" ""
"AT3G42251" "MATCH" "1" "AT3G42251" "AT3G42251" "transposable_element_gene" "TransposableElementGene" ""
"AT4G10500" "MATCH" "1" "AT4G10500" "AT4G10500" "2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein" "Gene" ""
