Locus ID	Transcript ID	Entrez Arabidopsis ID	rbohD_shoot_log2FoldChange	rbohD_shoot_pval	rbohD_shoot_padj	rbohD_shoot_bsaeMean_FL	rbohD_shoot_baseMean_GC	Symbol
AT1G08830	AT1G08830.2	837405	-1.3717971	#################	0.001365099	5104.118086	1972.280307	CSD1
AT1G09170	AT1G09170.1	837437	0.875412159	0.034627981	1	90.93746684	166.8277032	kinesin motor
AT1G09195	AT1G09195.1	6241311	0.776795266	0.015218988	1	132.408791	226.8587295	-
AT1G09195	AT1G09195.2	6241311	0.676687021	0.032460088	1	132.5600473	211.8925763	-
AT1G10070	AT1G10070.1	837543	-2.522916506	0.012665486	1	883.728473	153.7606843	BCAT-2
AT1G10070	AT1G10070.2	837543	-2.52034117	0.012672416	1	884.7898097	154.2203984	BCAT-2
AT1G10070	AT1G10070.3	837543	-2.51439398	0.012854941	1	881.7137907	154.3190797	BCAT-2
AT1G10540	AT1G10540.1	837595	-1.285646352	0.006189998	1	36.85044489	15.11557316	xanthine/uracil permease
AT1G10710	AT1G10710.1	837614	-2.46589331	0.040958174	1	7.164673896	1.296846504	-
AT1G10710	AT1G10710.2	837614	-2.165360928	0.043508582	1	7.879555844	1.75656064	-
AT1G11080	AT1G11080.1	837649	-2.008221963	#################	0.021049405	79.34286592	19.72299364	scpl31
AT1G11080	AT1G11080.2	837649	-2.003388261	#################	0.021264621	79.0774751	19.72299364	scpl31
AT1G11170	AT1G11170.1	837658	-0.549056806	0.046843164	1	148.1739699	101.2719911	-
AT1G12520	AT1G12520.1	837808	-1.272563672	0.000111658	0.11302306	2719.446424	1125.642988	CCS
AT1G12520	AT1G12520.2	837808	-1.256128498	0.000104908	0.112626869	2594.49526	1086.226829	CCS
AT1G12520	AT1G12520.3	837808	-1.273292579	0.000108938	0.11302306	2548.032125	1054.157832	CCS
AT1G13750	AT1G13750.1	837935	1.057474819	0.002161968	0.870388628	274.1795478	570.6458933	phosphoesterase
AT1G15150	AT1G15150.1	838080	-1.402906093	0.018698833	1	43.42158806	16.42059493	MATE efflux
AT1G15210	AT1G15210.1	838087	-1.005859852	0.014355292	1	122.2615634	60.88298793	PDR7
AT1G15380	AT1G15380.1	838107	-1.922963884	0.000375946	0.288636436	111.8574173	29.49816347	glyoxalase I
AT1G15380	AT1G15380.2	838107	-1.922963884	0.000382915	0.288636436	111.8574173	29.49816347	glyoxalase I
AT1G15670	AT1G15670.1	838136	0.429941637	0.041389134	1	445.0228295	599.5254448	F-box
AT1G16510	AT1G16510.1	838221	1.021407101	0.001638818	0.734937257	30.7951519	62.51101142	auxin-responsive
AT1G17020	AT1G17020.1	838272	0.936471716	0.030747452	1	27.74671444	53.10282691	SRG1
AT1G17030	AT1G17030.1	838273	Inf	0.044878058	1	0	2.817632482	-
AT1G17744	AT1G17744.1	6240445	0.843626967	0.022709939	1	99.2727127	178.1504451	-
AT1G17745	AT1G17745.1	838352	0.634422554	0.046033673	1	365.7010469	567.6836974	PGDH
AT1G17745	AT1G17745.2	838352	0.639261698	0.044077454	1	377.804657	588.4427997	PGDH
AT1G18265	AT1G18265.1	2745754	-0.865926084	0.030246088	1	62.52610027	34.30770109	-
AT1G18370	AT1G18370.1	838418	-0.555328193	0.020796665	1	872.373503	593.6521192	HIK
AT1G19540	AT1G19540.1	838541	-1.115769502	0.001301451	0.650027983	91.95622428	42.43273669	isoflavone reductase
AT1G19550	AT1G19550.1	838542	-2.409443064	#################	0.001365099	139.6021982	26.27711138	dehydroascorbate reductase
AT1G19560	AT1G19560.1	3766759	-2.454714548	#################	0.001918401	67.33184362	12.28224613	-
AT1G19570	AT1G19570.1	838544	-0.933503419	#################	0.088375513	4109.986147	2151.928453	DHAR1
AT1G19570	AT1G19570.2	838544	-0.933347631	#################	0.088375513	4107.067528	2150.632528	DHAR1
AT1G19850	AT1G19850.1	838573	-0.562245359	0.01830744	1	730.9495375	495.0336002	MP
AT1G20060	AT1G20060.1	838594	-0.642246362	0.035133094	1	177.0150817	113.4161369	ATP binding
AT1G20720	AT1G20720.1	838662	-0.556658621	0.023610434	1	205.9852674	140.0442291	helicase
AT1G22275	AT1G22275.1	838834	-0.857737306	0.04769521	1	36.91902113	20.37255599	ZYP1b
AT1G23000	AT1G23000.1	838908	-0.679315828	0.020834585	1	150.5642391	94.02154705	heavy-metal-associated
AT1G23110	AT1G23110.2	838919	1.015029793	0.043505552	1	24.55820233	49.63076706	-
AT1G23110	AT1G23110.3	838919	1.039091648	0.037939206	1	24.82359316	51.01083105	-
AT1G23110	AT1G23110.4	838919	0.989388372	0.046339985	1	25.46262041	50.55203849	-
AT1G23110	AT1G23110.5	838919	0.989388372	0.046339985	1	25.46262041	50.55203849	-
AT1G23160	AT1G23160.1	838924	-	0.044611207	1	2.34411966	0	auxin-responsive GH3
AT1G23720	AT1G23720.1	838982	-2.200232889	0.009716942	1	18.75618698	4.081393386	extensin
AT1G23800	AT1G23800.1	838991	-0.770652233	0.008088489	1	235.0938553	137.800832	ALDH2B7
AT1G25460	AT1G25460.1	839132	-1.170942501	0.02432187	1	30.96858171	13.75411021	oxidoreductase
AT1G26235	AT1G26235.1	3766798	-1.241503956	0.021435639	1	19.77006927	8.361385757	other RNA
AT1G26330	AT1G26330.1	839175	-0.607493078	0.027394654	1	148.2824084	97.32311314	DNA binding
AT1G26330	AT1G26330.2	839175	-0.615486218	0.02605283	1	149.5332813	97.60185007	DNA binding
AT1G26360	AT1G26360.1	839178	1.648850173	0.039065051	1	2.680410239	8.405327285	MES13
AT1G27565	AT1G27565.1	5007731	Inf	0.049644653	1	0	2.396330402	-
AT1G28640	AT1G28640.1	839764	4.395630963	0.04528539	1	0.346454806	7.292280403	lipase
AT1G29025	AT1G29025.1	10723075	-2.15245691	0.008432925	1	16.05315257	3.610823323	-
AT1G29195	AT1G29195.1	839794	1.31381652	0.018800554	1	6.877056381	17.09624631	-
AT1G29270	AT1G29270.1	839801	-0.885548999	0.017981949	1	64.28811334	34.79796681	-
AT1G29860	AT1G29860.1	839864	1.616918501	0.014184307	1	6.509789774	19.96677541	WRKY71
AT1G30900	AT1G30900.1	839974	1.018675812	0.044259717	1	171.5825261	347.6362309	vacuolar sorting receptor
AT1G31350	AT1G31350.1	840024	0.697367178	0.025207351	1	43.52833253	70.58305787	F-box
AT1G31710	AT1G31710.1	840058	-0.722886189	0.032609352	1	478.3132178	289.8023854	copper amine oxidase
AT1G31720	AT1G31720.1	840059	-1.859186978	0.046485925	1	5.208856742	1.435725339	-
AT1G32780	AT1G32780.1	840172	0.84836116	0.028853397	1	71.88780123	129.430717	alcohol dehydrogenase
AT1G33090	AT1G33090.1	840205	-	0.020114823	1	2.771638446	0	MATE efflux
AT1G33320	AT1G33320.1	840226	-	0.011000657	1	3.729938883	0	O-succinylhomoserine (Thiol)-lyase
AT1G35910	AT1G35910.1	840493	-1.385088388	0.003073928	1	43.04693666	16.48121026	trehalose-6-phosphate phosphatase
AT1G37150	AT1G37150.1	840632	1.070717882	0.029879902	1	10.9763842	23.05565684	HCS2
AT1G37150	AT1G37150.2	840632	0.992460564	0.047096434	1	11.58822984	23.05565684	HCS2
AT1G37150	AT1G37150.3	840632	1.070717882	0.029924837	1	10.9763842	23.05565684	HCS2
AT1G43160	AT1G43160.1	840915	-3.397093766	0.043414953	1	180.7110705	17.15369314	RAP2.6
AT1G48510	AT1G48510.2	841272	-3.752651328	0.026563598	1	3.757120509	0.27873693	cytochrome c oxidase
AT1G49320	AT1G49320.1	841355	-1.177788862	0.001557973	0.707639415	83.04157442	36.70673855	BURP
AT1G49780	AT1G49780.1	841401	0.565924923	0.039064721	1	180.1324128	266.6565422	PUB26
AT1G49910	AT1G49910.1	841414	-0.729868199	0.021209632	1	52.1898785	31.46835675	WD-40 repeat
AT1G50530	AT1G50530.1	841475	-	0.035616804	1	2.100927717	0	-
AT1G51420	AT1G51420.1	841567	-	0.000910438	0.520241745	6.184174578	0	SPP1
AT1G51680	AT1G51680.2	841593	0.436196719	0.042976739	1	1120.426647	1515.973905	4CL1
AT1G51760	AT1G51760.1	841602	-0.60213563	0.042932637	1	1054.288533	694.5421336	JR3
AT1G51840	AT1G51840.1	841611	-	0.029694987	1	3.530691613	0	kinase
AT1G52410	AT1G52410.1	841671	-0.77355355	0.021575233	1	1478.90554	865.1225136	TSA1
AT1G52410	AT1G52410.2	841671	-0.772456456	0.021796335	1	1479.355031	866.0437851	TSA1
AT1G52560	AT1G52560.1	841687	-2.853554433	0.009439843	1	5.344029623	0.739372644	HSP26.5-P
AT1G52560	AT1G52560.2	841687	-2.853554433	0.009462734	1	5.344029623	0.739372644	HSP26.5-P
AT1G53140	AT1G53140.1	841748	-0.56959644	0.037550507	1	232.3886143	156.5846668	dynamin
AT1G54000	AT1G54000.1	841838	-1.276433136	0.01218477	1	67.65830901	27.93035642	myrosinase-associated
AT1G54100	AT1G54100.1	841849	-0.740045187	0.01027103	1	3318.550635	1986.884625	ALDH7B4
AT1G54100	AT1G54100.2	841849	-0.745534572	0.010117804	1	3296.148174	1965.977113	ALDH7B4
AT1G54217	AT1G54217.1	2745829	-1.187247681	0.003228106	1	50.16009999	22.02729811	Expressed
AT1G54217	AT1G54217.2	2745829	-1.208730249	0.002877443	1	50.2683456	21.74856118	Expressed
AT1G54217	AT1G54217.3	2745829	-1.208730249	0.002875225	1	50.2683456	21.74856118	Expressed
AT1G54890	AT1G54890.1	841928	-4.867554138	0.001061791	0.567684603	8.137187315	0.27873693	LEA
AT1G55330	AT1G55330.1	841979	0.446280059	0.046749046	1	1453.209253	1980.030311	AGP21
AT1G55850	AT1G55850.1	842035	0.472124572	0.048726445	1	1144.516121	1587.616384	CSLE1
AT1G56130	AT1G56130.1	842065	-0.866771006	0.043743824	1	101.858481	55.85642333	kinase
AT1G56150	AT1G56150.1	842068	1.259048707	0.036959782	1	34.7769229	83.23434752	auxin-responsive
AT1G56600	AT1G56600.1	842114	1.757151712	0.037057923	1	10.99357253	37.16158409	GolS2
AT1G57590	AT1G57590.1	842135	-0.721988959	0.028041541	1	90.97067926	55.15197944	carboxylesterase
AT1G58225	AT1G58225.1	842190	1.776053933	0.041880128	1	5.794454736	19.84531892	-
AT1G58225	AT1G58225.2	842190	1.916615603	0.03961636	1	5.529063911	20.87422674	-
AT1G58280	AT1G58280.1	842197	0.627104584	0.016698708	1	216.822226	334.8737372	-
AT1G58280	AT1G58280.2	842197	0.629913874	0.01688805	1	207.9033057	321.724671	-
AT1G58280	AT1G58280.3	842197	0.62656859	0.016623916	1	215.9449895	333.3949919	-
AT1G58280	AT1G58280.4	842197	0.593836068	0.021939211	1	210.4107163	317.5633127	-
AT1G60110	AT1G60110.1	842306	-1.38072653	0.009782444	1	32.02377273	12.29794068	-
AT1G60130	AT1G60130.1	842308	-1.483907325	0.047411162	1	12.31825875	4.404014164	jacalin lectin
AT1G60960	AT1G60960.1	842387	-0.632850115	0.017061039	1	793.594137	511.7897497	IRT3
AT1G61810	AT1G61810.1	842478	-2.507312086	0.020837183	1	49.2686677	8.665520857	BGLU45
AT1G61810	AT1G61810.3	842478	-2.402231972	0.027045378	1	47.28116707	8.944257787	BGLU45
AT1G61820	AT1G61820.1	842479	-1.211126023	0.005065251	1	190.0764039	82.09995996	BGLU46
AT1G61820	AT1G61820.3	842479	-1.28129119	0.00455668	1	128.8208155	53.00037749	BGLU46
AT1G61950	AT1G61950.1	842490	Inf	0.02561339	1	0	2.508632369	CPK19
AT1G62440	AT1G62440.1	842542	-0.817519848	0.044109457	1	145.1773394	82.376026	LRX2
AT1G62500	AT1G62500.1	842547	-1.08575725	0.025040461	1	313.6461538	147.7727876	LTP
AT1G63650	AT1G63650.1	842669	-1.37453708	0.004272616	1	63.53712498	24.50477212	EGL3
AT1G63650	AT1G63650.2	842669	-1.399756187	0.003524847	1	64.65755337	24.50477212	EGL3
AT1G63650	AT1G63650.3	842669	-1.399756187	0.003281248	1	64.65755337	24.50477212	EGL3
AT1G63820	AT1G63820.1	842685	-1.260292843	0.048012597	1	16.29439518	6.802245404	-
AT1G64400	AT1G64400.1	842748	0.543956979	0.035751559	1	677.473708	987.7335657	long-chain acyl-CoA synthetase
AT1G66270	AT1G66270.1	842944	-4.171808479	#################	0.000181753	61.7857018	3.42806064	BGLU21
AT1G66270	AT1G66270.2	842944	-4.171808479	#################	0.000181753	61.7857018	3.42806064	BGLU21
AT1G66280	AT1G66280.1	842945	-1.678801131	0.001485116	0.683307745	50.4917161	15.7706878	BGLU22
AT1G66480	AT1G66480.1	842966	0.76686434	0.034859395	1	19.6577749	33.4490299	PMI2
AT1G66760	AT1G66760.1	842994	-0.983870587	0.045832049	1	572.9558455	289.6987332	MATE efflux
AT1G66760	AT1G66760.2	842994	-0.986511187	0.045694038	1	582.1505752	293.8095259	MATE efflux
AT1G66880	AT1G66880.1	843006	0.482195043	0.048484421	1	784.3694667	1095.660112	kinase
AT1G67520	AT1G67520.1	843073	0.890577916	0.024861131	1	45.62917927	84.59278504	kinase
AT1G67810	AT1G67810.1	843107	1.400171813	0.000856532	0.500346053	45.90680104	121.1632029	SUFE2
AT1G68440	AT1G68440.1	843173	0.5331527	0.021403715	1	820.2212581	1186.932375	-
AT1G69230	AT1G69230.1	843254	-2.106806415	#################	0.100765155	32.12185411	7.457421307	SP1L2
AT1G69230	AT1G69230.2	843254	-2.106806415	#################	0.100765155	32.12185411	7.457421307	SP1L2
AT1G69480	AT1G69480.1	843280	-2.034411301	0.011601456	1	27.91001028	6.813043651	EXS
AT1G70000	AT1G70000.1	843337	0.463764203	0.041941428	1	366.959756	506.0872247	DNA-binding
AT1G70000	AT1G70000.2	843337	0.470050776	0.040151794	1	373.6529665	517.5684772	DNA-binding
AT1G73290	AT1G73290.1	843663	5.653013114	0.001940025	0.806794089	0.265390825	13.35403215	scpl5
AT1G74010	AT1G74010.1	843739	-1.158691369	0.013445529	1	39.31866702	17.61156412	strictosidine synthase
AT1G74670	AT1G74670.1	843806	1.077210079	0.032843223	1	611.3675548	1289.956105	gibberellin-responsive
AT1G75430	AT1G75430.1	843879	-3.998976784	0.041823348	1	4.45662894	0.27873693	BLH11
AT1G75700	AT1G75700.1	843904	-2.22962953	0.038563693	1	6.931193089	1.47782371	HVA22G
AT1G76470	AT1G76470.1	843980	-2.547137967	0.013995948	1	32.97854292	5.642434578	catalytic/ cinnamoyl-CoA reductase
AT1G76790	AT1G76790.1	844013	-1.076263838	0.003450769	1	223.6548972	106.0695469	methyltransferase
AT1G77000	AT1G77000.1	844036	-0.583706985	0.043467267	1	156.0370668	104.1152789	SKP2B
AT1G77000	AT1G77000.2	844036	-0.573461682	0.046097728	1	156.3024577	105.0356287	SKP2B
AT1G77450	AT1G77450.1	844081	0.536181119	0.030900964	1	127.6704964	185.1386732	anac032
AT1G78340	AT1G78340.1	844169	-2.126694732	0.02481497	1	17.59710662	4.029418347	GSTU22
AT1G78815	AT1G78815.1	844218	-1.921297038	0.025639841	1	7.342175375	1.938459424	LSH7
AT1G78865	AT1G78865.1	10723042	-0.710769735	0.032763404	1	116.5352662	71.20235573	-
AT1G79330	AT1G79330.1	844271	-0.862103745	0.045312042	1	26.13310705	14.37712209	MCP2B
AT1G79440	AT1G79440.1	844282	-0.51771027	0.036793597	1	1824.14569	1274.128414	SSADH1
AT1G79870	AT1G79870.1	844326	0.355143883	0.043303788	1	398.8574332	510.1837854	oxidoreductase
AT1G79870	AT1G79870.2	844326	0.356977731	0.04459402	1	378.3606763	484.5816873	oxidoreductase
AT1G79890	AT1G79890.1	844328	-0.573047351	0.041864288	1	45.55924376	30.62471565	helicase
AT1G80180	AT1G80180.1	844358	0.722549992	0.010063922	1	182.0656541	300.425814	-
AT1G80370	AT1G80370.1	844377	-0.526365901	0.048161947	1	180.8488895	125.5636471	CYCA2;4
AT2G01422	AT2G01422.1	10723131	2.389259599	0.004389958	1	3.531144703	18.49925853	-
AT2G01422	AT2G01422.2	10723131	3.089586482	0.001906081	0.804720167	1.326954124	11.29572508	-
AT2G02000	AT2G02000.1	814731	1.886876822	0.02500578	1	0.904418082	3.344843158	GAD3
AT2G02680	AT2G02680.1	814797	-2.066826819	0.040795655	1	5.658800956	1.3506647	DC1
AT2G02850	AT2G02850.1	814816	-1.078764865	0.014337136	1	66.57013085	31.5165614	ARPN
AT2G07630	AT2G07630.1	815335	Inf	0.030401911	1	0	10.79178102	transposable element gene
AT2G07709	AT2G07709.1	28717840	0.458428435	0.027211088	1	1196.440083	1643.961583	-
AT2G07808	AT2G07808.1	7922400	0.621926217	0.01430163	1	126.5165902	194.6999881	-
AT2G11810	AT2G11810.1	815657	1.195351139	0.028042692	1	100.9944872	231.2779432	MGDC
AT2G11810	AT2G11810.2	815657	1.197088832	0.027792014	1	100.9944872	231.5566801	MGDC
AT2G15490	AT2G15490.1	816041	-3.077262705	#################	0.058763615	60.20298255	7.132957373	UGT73B4
AT2G15490	AT2G15490.2	816041	-3.418465786	#################	0.070644716	42.61351056	3.9855345	UGT73B4
AT2G15490	AT2G15490.3	816041	-3.077262705	#################	0.058763615	60.20298255	7.132957373	UGT73B4
AT2G16005	AT2G16005.1	816096	-	0.033677769	1	2.874674764	0	ML
AT2G18220	AT2G18220.1	816337	-0.509429289	0.046806354	1	441.8640094	310.4095915	-
AT2G18470	AT2G18470.1	816362	-1.886966472	0.004418503	1	11.17064873	3.020263863	kinase
AT2G19670	AT2G19670.1	816486	-0.545637619	0.042530497	1	269.2627785	184.4688468	PRMT1A
AT2G19690	AT2G19690.1	816488	0.781341597	0.013146543	1	46.53319988	79.97793294	PLA2-BETA
AT2G19690	AT2G19690.2	816488	0.797142416	0.011285632	1	46.18674507	80.25666987	PLA2-BETA
AT2G19800	AT2G19800.1	816499	-1.38823737	0.002411547	0.949292251	7780.724838	2972.480179	MIOX2
AT2G20490	AT2G20490.1	816569	-0.589940746	0.015657013	1	493.6932319	327.9950679	NOP10
AT2G20490	AT2G20490.2	816569	-0.580625514	0.017324841	1	488.5602299	326.6874231	NOP10
AT2G21130	AT2G21130.1	816648	-0.788004654	0.02772293	1	133.0125951	77.03351751	CYP2
AT2G22450	AT2G22450.1	816777	-0.616007933	0.0444067	1	633.2487524	413.1782742	riboflavin biosynthesis
AT2G22860	AT2G22860.1	816817	-1.877253804	0.015400796	1	50.82019586	13.83332658	PSK2
AT2G22930	AT2G22930.1	816824	-1.037296316	0.035120702	1	29.26043053	14.25684429	glycosyltransferase
AT2G23030	AT2G23030.1	816833	-1.947852087	0.02545462	1	15.32363236	3.971913836	SNRK2-9
AT2G23050	AT2G23050.1	816835	-1.31254577	0.019268888	1	22.33019924	8.990357272	NPY4
AT2G23060	AT2G23060.1	816836	-2.648242562	0.004975742	1	8.19766604	1.307644752	GNAT
AT2G23060	AT2G23060.2	816836	-2.585944584	0.007575174	1	7.851211234	1.307644752	GNAT
AT2G23096	AT2G23096.1	816841	-2.029587318	0.042181199	1	16.66760389	4.082314965	oxidoreductase
AT2G23530	AT2G23530.1	816885	-1.107614763	0.008710803	1	38.80915026	18.00979903	-
AT2G24070	AT2G24070.1	816941	-1.121667987	0.034234248	1	15.5575409	7.149657573	-
AT2G24070	AT2G24070.2	816941	-1.168462976	0.014691421	1	19.17450578	8.530643137	-
AT2G24610	AT2G24610.1	816997	-1.172956839	0.035533556	1	19.79651564	8.779980782	CNGC14
AT2G25450	AT2G25450.1	817083	-0.515035136	0.026035649	1	10304.05757	7210.531054	2-oxoglutarate-dependent dioxygenase
AT2G25980	AT2G25980.1	817139	-4.770410684	0.000175246	0.155215009	7.607311847	0.27873693	jacalin lectin
AT2G26020	AT2G26020.1	817143	-2.583562257	0.035294086	1	93.49136886	15.59702555	PDF1.2b
AT2G27690	AT2G27690.1	817315	-1.138874	0.018497748	1	130.2166644	59.13319314	CYP94C1
AT2G27880	AT2G27880.1	817334	-2.460051742	0.048123983	1	7.899884298	1.435725339	AGO5
AT2G28190	AT2G28190.1	817365	-1.548798933	0.000507027	0.345441289	12112.14766	4139.865394	CZSOD2
AT2G28200	AT2G28200.1	817366	0.597200583	0.033121527	1	127.6530766	193.1108055	nucleic acid binding
AT2G28780	AT2G28780.1	817427	-1.399015608	0.012996834	1	54.41468214	20.63338274	-
AT2G28790	AT2G28790.1	817428	-1.206694113	0.010051951	1	186.754788	80.91343181	osmotin-like
AT2G29500	AT2G29500.1	817499	-1.175109651	0.029059812	1	44.26757367	19.60389942	HSP17.6B-CI
AT2G29890	AT2G29890.1	817539	-0.519672218	0.035870303	1	509.1982603	355.1812127	VLN1
AT2G29890	AT2G29890.2	817539	-0.51855786	0.036064332	1	509.4636511	355.6409268	VLN1
AT2G29890	AT2G29890.3	817539	-0.51855786	0.03606127	1	509.4636511	355.6409268	VLN1
AT2G29990	AT2G29990.1	817549	0.575796001	0.033414178	1	281.7831802	419.997721	NDA2
AT2G30210	AT2G30210.1	817571	-0.916628809	0.038438981	1	47.21659257	25.01277498	LAC3
AT2G31750	AT2G31750.1	817732	0.606394151	0.012791377	1	628.3646243	956.6532596	UGT74D1
AT2G34260	AT2G34260.1	817987	-0.548620362	0.029445377	1	431.3066976	294.8730059	transducin
AT2G34260	AT2G34260.2	817987	-0.532641771	0.035327905	1	419.7083036	290.1392014	transducin
AT2G34300	AT2G34300.1	817991	-0.631468646	0.029607861	1	2707.988219	1748.057713	dehydration-responsive
AT2G34300	AT2G34300.2	817991	-0.631485177	0.029771697	1	2702.38282	1744.419333	dehydration-responsive
AT2G36350	AT2G36350.1	818208	-0.533199864	0.036018307	1	565.9097238	391.0551446	kinase
AT2G36660	AT2G36660.1	818238	-1.110685414	0.017109771	1	42.91462137	19.87264432	PAB7
AT2G37690	AT2G37690.1	818346	-0.560436254	0.02287466	1	527.4126092	357.6369524	AIR carboxylase
AT2G38160	AT2G38160.1	818394	-0.795884397	0.030911472	1	106.772261	61.49975178	-
AT2G38160	AT2G38160.2	818394	-0.698513393	0.042534647	1	120.8135382	74.44612891	-
AT2G38620	AT2G38620.2	818444	-0.807346243	0.026130103	1	103.0082874	58.86223261	CDKB1;2
AT2G38860	AT2G38860.1	818470	0.799173655	0.012182855	1	243.4152505	423.5678866	YLS5
AT2G38860	AT2G38860.2	818470	0.797270846	0.011803408	1	247.4497965	430.0208767	YLS5
AT2G38860	AT2G38860.3	818470	0.927178086	0.004850417	1	179.9487975	342.1821605	YLS5
AT2G39530	AT2G39530.1	818538	1.558299773	0.010942156	1	13.79941671	40.64018753	integral membrane
AT2G39620	AT2G39620.1	818545	-1.374668954	0.020401745	1	17.59869489	6.786781582	PPR
AT2G40330	AT2G40330.1	818626	0.570947446	0.016943303	1	231.7234299	344.2248786	Bet v I allergen
AT2G40340	AT2G40340.1	818627	-0.953198335	0.034212248	1	50.67594076	26.1734233	DRE2B
AT2G40610	AT2G40610.1	818656	1.002894681	0.020619663	1	240.4466499	481.8591518	EXP8
AT2G42660	AT2G42660.1	818866	3.228379754	0.048233524	1	0.346454806	3.247025754	myb
AT2G43100	AT2G43100.1	818912	-0.675925347	0.042826257	1	1614.586853	1010.619346	aconitase C-terminal
AT2G43535	AT2G43535.1	818955	-0.731253105	0.045480084	1	158.394659	95.41384868	trypsin inhibitor
AT2G43550	AT2G43550.1	818957	-0.744348583	0.04962877	1	704.6107211	420.6084529	trypsin inhibitor
AT2G43570	AT2G43570.1	818959	1.993881893	0.034463575	1	27.91269857	111.1783139	chitinase
AT2G43600	AT2G43600.1	818962	-	0.03879108	1	2.68607262	0	hydrolase
AT2G43800	AT2G43800.1	818984	-0.530931719	0.042891361	1	615.0027424	425.6480806	FH2
AT2G43932	AT2G43932.1	7922537	-1.786235849	0.03761191	1	8.642884311	2.505809953	-
AT2G45040	AT2G45040.1	819111	1.206725657	0.042574697	1	3.828473354	8.836621394	matrix metalloproteinase
AT2G45135	AT2G45135.1	819121	1.563532875	0.046686851	1	8.479819911	25.06437754	protein binding
AT2G45480	AT2G45480.1	819156	-0.787427709	0.028716595	1	47.63613243	27.59924069	GRF9
AT2G46240	AT2G46240.1	819232	-0.574391945	0.028070108	1	335.910385	225.5870817	BAG6
AT2G46650	AT2G46650.1	819277	-0.651996621	0.011679996	1	1210.050293	770.0747456	B5 #1
AT2G47010	AT2G47010.1	819315	0.947857632	0.005177971	1	77.19822378	148.915837	-
AT2G47010	AT2G47010.2	819315	0.94560434	0.005288738	1	77.46361461	149.1945739	-
AT2G47130	AT2G47130.1	819326	1.631012484	0.002641701	0.995640404	22.63729835	70.11457014	SDR
AT2G47140	AT2G47140.1	819327	2.583678913	0.000609968	0.385891736	2.041836072	12.24012136	SDR
AT2G47180	AT2G47180.1	819331	-0.907033581	0.0044867	1	343.1359052	182.9876793	GolS1
AT2G47550	AT2G47550.1	819368	-3.41185756	#################	0.000143456	37.5155235	3.524841105	pectinesterase
AT2G47560	AT2G47560.1	819369	-1.566281956	0.009380264	1	27.4000887	9.252394002	zinc finger
AT2G47800	AT2G47800.1	819392	0.503990891	0.033735336	1	1183.058747	1677.732381	EST3
AT2G47970	AT2G47970.1	819409	0.421042949	0.042314186	1	214.3617865	287.0079488	NPL4
