Locus ID	Transcript ID	Entrez Arabidopsis ID	Col_Root_baseMeanB_GC	Col_Root_baseMeanA_FL	Col_Root_log2FoldChange	Col_Root_pval	Col_Root_padj	Symbol
AT1G17300	AT1G17300.1	838302	156.4709811	256.7214621	-0.71430879	0.046654883	1	-
AT1G17710	AT1G17710.1	838347	26.70072003	6.206282293	2.105077423	0.015666208	1	phosphatase
AT1G17710	AT1G17710.2	838347	24.74207193	5.430706745	2.187754453	0.012668404	0.897211049	phosphatase
AT1G17830	AT1G17830.1	838361	114.7227768	78.34563576	0.550227032	0.045427009	1	-
AT1G18970	AT1G18970.1	838478	211.8794864	43.06500091	2.298656149	0.00026804	0.085672545	GLP4
AT1G19390	AT1G19390.1	838522	0	5.022610255	-	0.000221904	0.074150147	kinase
AT1G19960	AT1G19960.1	838585	38.15125307	11.10758825	1.780184839	0.001263048	0.233098455	-
AT1G20657	AT1G20657.1	7922352	0	1.926211669	-	0.029886623	1	-
AT1G20840	AT1G20840.1	838676	3156.820573	5470.507634	-0.79320245	0.00859044	0.720910528	TMT1
AT1G21100	AT1G21100.1	838706	278.3902369	646.1853464	-1.214839418	0.024282067	1	methyltransferase
AT1G21130	AT1G21130.2	838709	176.9552174	89.59707265	0.981860797	0.021330928	1	methyltransferase
AT1G21140	AT1G21140.1	838710	309.7723881	112.9955454	1.454942654	0.008285067	0.704291332	nodulin
AT1G21240	AT1G21240.1	838719	4.760538284	0	Inf	0.00024007	0.077405838	WAK3
AT1G21320	AT1G21320.1	838729	16.83302908	3.768738236	2.159141312	7.21E-05	0.031558667	nucleotide binding
AT1G21320	AT1G21320.2	838729	15.09167417	2.782063055	2.439525833	2.15E-05	0.012359027	nucleotide binding
AT1G22150	AT1G22150.1	838820	29.69605321	6.665689728	2.15544513	0.004456456	0.491909767	SULTR1;3
AT1G22160	AT1G22160.1	838821	20.36997472	32.08151729	-0.655298185	0.04695468	1	senescence-associated
AT1G22500	AT1G22500.1	838856	312.1738612	661.8577061	-1.08417134	0.003355712	0.41355886	zinc finger
AT1G22590	AT1G22590.2	838865	4.692288013	9.177354789	-0.967786813	0.041862687	1	AGL87
AT1G22885	AT1G22885.1	838895	151.1246463	94.30831035	0.680282153	0.027692797	1	-
AT1G22885	AT1G22885.2	838895	138.5785744	88.49246205	0.647077746	0.04101675	1	-
AT1G23050	AT1G23050.1	838913	25.77424523	42.59876937	-0.724881573	0.034046501	1	glycoprotein
AT1G23052	AT1G23052.1	10723058	25.77424523	42.59876937	-0.724881573	0.034046501	1	-
AT1G23060	AT1G23060.2	838914	29.43369614	49.94917438	-0.762992111	0.031361104	1	-
AT1G23380	AT1G23380.1	838946	179.442102	98.52908029	0.86489693	0.001844562	0.286078294	KNAT6S
AT1G23380	AT1G23380.2	838946	179.4029473	98.39082453	0.866607903	0.001801953	0.285493062	KNAT6S
AT1G23530	AT1G23530.1	838962	67.27798579	37.39667426	0.847224539	0.023519532	1	-
AT1G23550	AT1G23550.1	838965	65.22216616	42.42324687	0.620507315	0.040932781	1	SRO2
AT1G23730	AT1G23730.1	838983	18.84035925	2.699037889	2.80330934	0.027261774	1	BCA3
AT1G24575	AT1G24575.1	839072	31.36513425	10.90534727	1.524126025	0.00041174	0.109669092	-
AT1G25530	AT1G25530.1	839139	700.7432118	398.4281057	0.814566443	0.00267819	0.367321744	lysine and histidine specific transporter
AT1G26240	AT1G26240.1	839165	25.24935728	0.882983243	4.837716796	3.66E-06	0.003557111	extensin
AT1G26250	AT1G26250.1	839166	496.7310645	141.2114443	1.814607958	0.03187737	1	extensin
AT1G26380	AT1G26380.1	839180	73.4604242	2.991329195	4.618108634	0.000410699	0.109669092	FAD-binding
AT1G26390	AT1G26390.1	839181	282.8237855	0.138255765	10.9983481	5.12E-05	0.024429346	FAD-binding
AT1G26410	AT1G26410.1	839183	20.0630577	0.28053287	6.160227866	0.001232983	0.231228267	FAD-binding
AT1G26420	AT1G26420.1	839184	36.85946195	4.609114516	2.999473494	0.001300609	0.234345583	FAD-binding
AT1G27020	AT1G27020.1	839591	272.1145728	512.165908	-0.912397003	0.014118433	0.952331487	-
AT1G27660	AT1G27660.1	839658	146.319411	217.51361	-0.571984502	0.038411383	1	ethylene-responsive
AT1G28010	AT1G28010.1	839694	100.5614589	63.16337772	0.670917257	0.047244027	1	PGP14
AT1G29100	AT1G29100.1	839785	3.901850572	0	Inf	0.012651836	0.897211049	copper-binding
AT1G29290	AT1G29290.1	28717277	14.26052462	4.026670523	1.824367721	0.009916136	0.779593824	-
AT1G29440	AT1G29440.1	839820	0.130948919	1.281460372	-3.29071281	0.040010425	1	-
AT1G29450	AT1G29450.1	839821	0	0.751548284	-	0.044549394	1	auxin-responsive
AT1G29460	AT1G29460.1	839822	0.115232942	2.213565345	-4.263746852	0.004297137	0.478635945	auxin-responsive
AT1G29730	AT1G29730.1	839851	99.59612792	55.77576872	0.836451162	0.007784248	0.679633304	kinase
AT1G29740	AT1G29740.1	839852	40.00279069	13.62790203	1.553537168	0.000283678	0.088365755	kinase
AT1G30260	AT1G30260.1	839906	9.022651224	27.51576999	-1.608635377	6.58E-05	0.030224039	-
AT1G30270	AT1G30270.1	839907	1451.279524	2229.64755	-0.619490258	0.03779359	1	SnRK3.23
AT1G30730	AT1G30730.1	839953	263.1072971	115.7088506	1.185152041	0.014460411	0.968162705	FAD-binding
AT1G31580	AT1G31580.1	840047	10.2421178	2.174063432	2.236048118	0.000104574	0.038869141	ECS1
AT1G32350	AT1G32350.1	840127	12.71112201	0.429019616	4.888903958	0.001702225	0.277945277	AOX1D
AT1G32940	AT1G32940.1	840188	301.0709228	157.5869819	0.93395502	0.005021634	0.533468785	SBT3.5
AT1G33030	AT1G33030.1	840198	14.68294281	3.693094901	1.991238907	0.007150556	0.65399254	methyltransferase
AT1G33612	AT1G33612.1	10723140	77.76266786	45.48686733	0.773627635	0.024379944	1	-
AT1G33790	AT1G33790.1	840271	85.58749482	44.0575871	0.958009535	0.006815082	0.639035636	jacalin lectin
AT1G33790	AT1G33790.2	840271	141.5736079	81.03974904	0.804850732	0.015985001	1	jacalin lectin
AT1G33811	AT1G33811.1	840274	0.15733589	1.532877434	-3.284322643	0.013638947	0.942343554	lipase
AT1G35310	AT1G35310.1	840420	5.724639323	0.820981521	2.801763146	5.40E-05	0.025120026	MLP168
AT1G36370	AT1G36370.1	840543	1393.453662	936.6160425	0.573135374	0.018492917	1	SHM7
AT1G44130	AT1G44130.1	841016	14.11260344	1.916947117	2.880101712	0.003234688	0.405793313	nucellin
AT1G45015	AT1G45015.1	841067	43.59822863	174.8043193	-2.003399408	0.034056618	1	ML
AT1G45015	AT1G45015.2	841067	44.03795297	175.7020156	-1.996311427	0.034042087	1	ML
AT1G45616	AT1G45616.1	841101	9.397997121	20.46447846	-1.122696669	0.049230169	1	RLP6
AT1G47960	AT1G47960.1	841214	83.23750589	47.20202992	0.818384833	0.007186911	0.65399254	C/VIF1
AT1G48000	AT1G48000.1	841218	16.61288821	4.993950488	1.73404949	0.015750837	1	MYB112
AT1G48800	AT1G48800.1	841302	69.3083552	24.18180684	1.519107236	0.000698408	0.162162523	terpene synthase/cyclase
AT1G49240	AT1G49240.1	841347	10817.76502	15269.32283	-0.497233616	0.031810438	1	ACT8
AT1G49470	AT1G49470.1	841370	330.0981342	207.4597482	0.670063536	0.010163746	0.788162031	-
AT1G49750	AT1G49750.1	841398	111.1597789	61.36147417	0.857229823	0.030857286	1	LRR
AT1G49920	AT1G49920.1	841415	34.67482278	20.45974613	0.761100265	0.044715859	1	zinc finger
AT1G49975	AT1G49975.1	841421	6.700615212	13.34604743	-0.994047069	0.01544448	1	-
AT1G51270	AT1G51270.2	841550	73.71308604	120.9814206	-0.714792843	0.045369335	1	structural molecule/ transmembrane receptor
AT1G51270	AT1G51270.3	841550	70.94418391	117.034875	-0.72218218	0.044827621	1	structural molecule/ transmembrane receptor
AT1G51270	AT1G51270.4	841550	45.26570727	77.56889551	-0.777059763	0.036204333	1	structural molecule/ transmembrane receptor
AT1G51420	AT1G51420.1	841567	251.1495935	102.0586103	1.299149037	0.003780244	0.445353963	SPP1
AT1G51805	AT1G51805.1	841607	7.640696435	1.922801494	1.990494314	0.001689892	0.277300779	kinase
AT1G51805	AT1G51805.2	841607	7.394514574	1.922801494	1.943245613	0.002340351	0.330862608	kinase
AT1G51830	AT1G51830.1	841610	69.64636039	654.4414845	-3.232144335	0.008844293	0.73632068	kinase
AT1G51840	AT1G51840.1	841611	30.96755429	270.183828	-3.12511197	0.007217578	0.65399254	kinase
AT1G51870	AT1G51870.1	841614	1.998207771	17.62072021	-3.140494387	0.036453853	1	kinase
AT1G52070	AT1G52070.1	841636	29.14685497	157.8859241	-2.437470431	0.015228173	0.992450281	jacalin lectin
AT1G52343	AT1G52343.1	6241332	5.868190779	0.852135173	2.783761569	0.021298288	1	-
AT1G52700	AT1G52700.1	841703	26.81475721	14.14972222	0.92225346	0.035738491	1	lipase
AT1G53625	AT1G53625.1	841798	7.182049695	1.91414765	1.907693517	0.032495804	1	-
AT1G54575	AT1G54575.1	2745830	39.47488893	13.77471132	1.518913122	0.000829266	0.17930196	-
AT1G55260	AT1G55260.1	841970	35.5586508	18.97563933	0.906052091	0.048567901	1	lipid binding
AT1G55260	AT1G55260.2	841970	35.44341786	18.59172011	0.930857477	0.04184001	1	lipid binding
AT1G56150	AT1G56150.1	842068	4.851045447	1.13236246	2.098959868	0.011212138	0.832574848	auxin-responsive
AT1G56430	AT1G56430.1	842096	140.3219595	42.50225676	1.723129447	0.006091844	0.597469589	NAS4
AT1G56580	AT1G56580.1	842112	900.8258023	644.1271672	0.483902609	0.039614438	1	-
AT1G56600	AT1G56600.1	842114	64.15742145	21.11131823	1.603599493	0.006296401	0.609044231	GolS2
AT1G57590	AT1G57590.1	842135	263.3612158	408.1209631	-0.631953915	0.044511273	1	carboxylesterase
AT1G58320	AT1G58320.1	842201	40.99774543	1.336946869	4.938530536	0.002052787	0.304142932	-
AT1G60470	AT1G60470.1	842342	239.6095747	86.82971794	1.464424757	0.002047987	0.304142932	GolS4
AT1G60730	AT1G60730.1	842367	406.1960884	218.750027	0.892893152	0.000907175	0.191668598	aldo/keto reductase
AT1G60730	AT1G60730.2	842367	406.1960884	218.750027	0.892893152	0.000907319	0.191668598	aldo/keto reductase
AT1G60730	AT1G60730.3	842367	393.7544612	216.6976222	0.861612946	0.001262868	0.233098455	aldo/keto reductase
AT1G60750	AT1G60750.1	3767587	42.59994319	19.11633372	1.156045648	0.024918922	1	oxidoreductase
AT1G61130	AT1G61130.1	842406	402.79358	132.5149006	1.603886096	0.000632707	0.153580612	SCPL32
AT1G61560	AT1G61560.1	842450	140.2934954	332.7678606	-1.246067981	0.021724894	1	MLO6
AT1G61560	AT1G61560.2	842450	134.9424979	323.3890307	-1.260925971	0.019274278	1	MLO6
AT1G61560	AT1G61560.3	842450	134.9424979	323.2507749	-1.260309056	0.019336629	1	MLO6
AT1G61560	AT1G61560.4	842450	139.8087199	329.8679541	-1.238434285	0.022495262	1	MLO6
AT1G61580	AT1G61580.1	842454	1702.859679	1201.390055	0.503254931	0.032129919	1	RPL3B
AT1G62170	AT1G62170.2	842513	113.9378059	62.99041515	0.855042305	0.017472413	1	protease
AT1G62180	AT1G62180.1	842514	1419.926824	812.4851496	0.805403233	0.00715275	0.65399254	PRH43
AT1G62180	AT1G62180.2	842514	1364.303371	781.3347657	0.804151769	0.007131707	0.65399254	PRH43
AT1G62290	AT1G62290.1	842526	17.91355582	8.174084316	1.131922709	0.025675389	1	protease
AT1G62290	AT1G62290.2	842526	17.7826069	8.174084316	1.121337807	0.026985887	1	protease
AT1G62420	AT1G62420.1	842540	6.259810713	0.571296721	3.453806878	0.049648663	1	-
AT1G62422	AT1G62422.1	5007832	68.78726404	104.3735818	-0.601543215	0.032960585	1	-
AT1G62510	AT1G62510.1	842548	25.30574817	62.10487343	-1.295241354	0.012373791	0.886595415	LTP
AT1G62760	AT1G62760.1	842574	1.277786885	4.157289509	-1.701995982	0.040023393	1	invertase
AT1G63310	AT1G63310.1	842637	64.95272038	38.80636331	0.743096712	0.049219651	1	-
AT1G63560	AT1G63560.1	N/A	6.981188071	0.52619633	3.729799486	0.044724478	1	-
AT1G63750	AT1G63750.1	842679	56.1916125	23.67826032	1.246791714	0.029114941	1	binding
AT1G63750	AT1G63750.2	842679	56.43779436	23.67826032	1.25309852	0.02755935	1	binding
AT1G63750	AT1G63750.3	842679	54.31086903	22.9295115	1.244035329	0.027355989	1	binding
AT1G63820	AT1G63820.1	842685	116.47403	64.41520818	0.854535068	0.013972708	0.952331487	-
AT1G64370	AT1G64370.1	842744	307.7209033	155.4390724	0.985273252	0.013805916	0.948832618	-
AT1G64380	AT1G64380.1	842745	29.21279688	53.17002968	-0.864012781	0.032080319	1	AP2
AT1G64950	AT1G64950.1	842803	196.7534162	124.6184071	0.658871504	0.009340118	0.755609905	CYP89A5
AT1G65390	AT1G65390.1	842851	4.037532556	15.72433492	-1.9614532	0.020704749	1	PP2-A5
AT1G65390	AT1G65390.2	842851	3.906583637	15.72433492	-2.009019591	0.017611741	1	PP2-A5
AT1G65481	AT1G65481.1	6241153	19.871892	1.508239007	3.719792266	0.00902847	0.744079513	other RNA
AT1G65485	AT1G65485.1	3767641	6.000831594	0.633298443	3.244205006	0.0210366	1	transposable element gene
AT1G65500	AT1G65500.1	842862	17.26955449	4.277321297	2.013451379	0.028244763	1	-
AT1G65790	AT1G65790.1	842890	3.077407198	0.214509808	3.842599832	0.001826742	0.285725788	ARK1
AT1G65800	AT1G65800.1	842891	10.53818158	3.798669559	1.472059818	0.010358715	0.793289832	ARK2
AT1G65810	AT1G65810.1	842892	2.651706943	0.214509808	3.627805823	0.003369167	0.41355886	nuclease
AT1G65810	AT1G65810.2	842892	2.651706943	0.214509808	3.627805823	0.003375348	0.41355886	nuclease
AT1G66783	AT1G66783.1	3767650	3.278984404	0.322223086	3.347117275	0.003011795	0.39257112	MIR157A
AT1G66940	AT1G66940.1	843012	10.37366109	21.0428022	-1.020401694	0.014351397	0.964377115	kinase
AT1G66940	AT1G66940.2	843012	9.926213943	19.83108065	-0.998447841	0.016753926	1	kinase
AT1G66940	AT1G66940.3	843012	9.926213943	20.9353945	-1.076628649	0.010273984	0.793289832	kinase
AT1G66970	AT1G66970.1	843015	57.197908	24.51869091	1.222080429	0.002673273	0.367321744	SVL2
AT1G66970	AT1G66970.2	843015	57.197908	24.65694667	1.213968223	0.002851866	0.379804543	SVL2
AT1G67270	AT1G67270.1	843047	25.88315955	0.214509808	6.914826312	3.46E-05	0.01739978	-
AT1G67800	AT1G67800.1	843106	379.812915	268.4947141	0.500395277	0.033253163	1	copine
AT1G67800	AT1G67800.2	843106	377.1145995	267.0784081	0.497739657	0.03390571	1	copine
AT1G67800	AT1G67800.3	843106	375.4046766	266.4407828	0.494631697	0.03479251	1	copine
AT1G67800	AT1G67800.4	843106	375.4046766	266.4407828	0.494631697	0.03479251	1	copine
AT1G67810	AT1G67810.1	843107	134.149141	66.63044912	1.009584294	0.003059579	0.394199231	SUFE2
AT1G67980	AT1G67980.1	843126	9.87750006	0.767838451	3.685271238	0.04693833	1	CCoAMT
AT1G67980	AT1G67980.2	843126	9.87750006	0.767838451	3.685271238	0.04693833	1	CCoAMT
AT1G68190	AT1G68190.1	843148	2.574777388	8.045398685	-1.64371621	0.002745417	0.373847271	zinc finger
AT1G68390	AT1G68390.1	843168	38.35452742	17.43450929	1.137451127	0.00360272	0.432352245	-
AT1G68470	AT1G68470.1	843176	181.9441841	115.6583165	0.653626927	0.026248977	1	exostosin
AT1G68530	AT1G68530.1	843182	72.5340227	37.79468885	0.94047435	0.026511761	1	POP1
AT1G68530	AT1G68530.2	843182	71.08921611	36.56296138	0.959247802	0.023955766	1	POP1
AT1G68740	AT1G68740.1	843205	1221.519071	613.4100982	0.993752566	0.004393144	0.486381904	EXS
AT1G68880	AT1G68880.1	843221	340.8974167	195.5154636	0.80205495	0.027178705	1	bZIP
AT1G69530	AT1G69530.1	843288	766.0227157	477.9078066	0.68065484	0.034175938	1	EXP1
AT1G69530	AT1G69530.2	843288	780.6422867	486.0486994	0.683560743	0.033300155	1	EXP1
AT1G69530	AT1G69530.3	843288	794.8136171	495.0720182	0.68297818	0.032956831	1	EXP1
AT1G69530	AT1G69530.4	843288	792.9777902	493.5760481	0.684008073	0.032794389	1	EXP1
AT1G69530	AT1G69530.5	843288	811.2660668	505.5247747	0.682393348	0.033320377	1	EXP1
AT1G69570	AT1G69570.1	843293	38.42409225	59.47542811	-0.630282574	0.038362602	1	zinc finger
AT1G69572	AT1G69572.1	6241025	32.66721116	52.29366759	-0.678792961	0.028358464	1	other RNA
AT1G69920	AT1G69920.1	843328	30.14158304	1.81972072	4.049966233	0.006079719	0.597469589	GSTU12
AT1G69930	AT1G69930.1	843329	9.284860981	0.142277105	6.028104884	0.000347603	0.103039125	GSTU11
AT1G70840	AT1G70840.1	843421	4.99656877	27.13612288	-2.441204991	0.019905343	1	MLP31
AT1G71140	AT1G71140.1	843454	11.27568732	0.4993696	4.49696357	1.26E-07	0.000222561	MATE efflux
AT1G71880	AT1G71880.1	843519	4933.883979	3501.836497	0.494612066	0.028137624	1	SUC1
AT1G72510	AT1G72510.1	843583	1454.124077	1980.16755	-0.445472131	0.046681145	1	-
AT1G72510	AT1G72510.2	843583	1395.916696	1914.940566	-0.456086768	0.042420837	1	-
AT1G72680	AT1G72680.1	843600	505.7684449	333.8037125	0.599477029	0.011272624	0.835378687	cinnamyl-alcohol dehydrogenase
AT1G72890	AT1G72890.2	843620	61.27103753	36.91094631	0.731156556	0.035591819	1	TIR-NBS
AT1G72900	AT1G72900.1	843621	53.14097996	21.42931517	1.310239087	0.031641504	1	TIR-NBS
AT1G72930	AT1G72930.1	843624	22.05939497	8.146035257	1.437223259	0.001889996	0.288259619	TIR
AT1G72930	AT1G72930.2	843624	22.05939497	8.146035257	1.437223259	0.001869815	0.28637003	TIR
AT1G73220	AT1G73220.1	843656	162.4899269	58.8253788	1.465839675	0.010397872	0.793289832	43009
AT1G73310	AT1G73310.1	843665	197.685767	280.9360025	-0.507032517	0.044852039	1	scpl4
AT1G73630	AT1G73630.1	843697	87.99265145	42.89921202	1.036431897	0.003062651	0.394199231	calcium-binding
AT1G73830	AT1G73830.1	843719	6.093746235	1.353032227	2.17113322	0.001433804	0.247428792	BEE3
AT1G73830	AT1G73830.2	843719	6.248133944	1.353032227	2.207229179	0.0011676	0.225881371	BEE3
AT1G74458	AT1G74458.1	5007848	421.8963526	256.8117799	0.716177235	0.030279216	1	-
AT1G74590	AT1G74590.1	843799	156.4011466	99.21541451	0.656614903	0.019077695	1	GSTU10
AT1G75280	AT1G75280.1	843865	1303.669195	847.5634144	0.621184614	0.027541545	1	isoflavone reductase
AT1G75440	AT1G75440.1	843880	343.8331169	500.7740885	-0.542451408	0.034485866	1	UBC16
AT1G75820	AT1G75820.1	843915	914.4355181	636.7132636	0.522237623	0.037230504	1	FLO5
AT1G76410	AT1G76410.1	843974	43.65161707	24.0278154	0.861329614	0.010728587	0.810347083	ATL8
AT1G76520	AT1G76520.1	843985	210.0753859	117.1170271	0.842956297	0.005155893	0.541471834	auxin efflux carrier
AT1G76520	AT1G76520.2	843985	209.151291	116.3000669	0.846694977	0.005182519	0.542717533	auxin efflux carrier
AT1G76620	AT1G76620.1	843995	35.38774964	74.79187644	-1.079631558	0.000354715	0.104306081	-
AT1G76680	AT1G76680.1	844001	2883.140892	1481.230385	0.96084529	2.76E-05	0.014705181	OPR1
AT1G76680	AT1G76680.2	844001	2670.895527	1375.005826	0.957885814	3.00E-05	0.015708857	OPR1
AT1G76690	AT1G76690.1	844002	772.7308857	460.605989	0.746432893	0.001371175	0.240001321	OPR2
AT1G76800	AT1G76800.1	844014	102.6614338	48.31865303	1.087242173	0.013387734	0.933762712	nodulin
AT1G77380	AT1G77380.1	844074	258.8216906	166.253871	0.638570596	0.016524488	1	AAP3
AT1G77450	AT1G77450.1	844081	425.8451842	279.2065026	0.608996493	0.008055247	0.695039276	anac032
AT1G77760	AT1G77760.1	844112	6195.996102	10616.72244	-0.776930309	0.003666352	0.437545751	NR1
AT1G77990	AT1G77990.1	844134	106.9371924	253.7129783	-1.246433615	8.20E-05	0.032662045	SULTR2;2
AT1G77992	AT1G77992.1	6241096	24.22274706	56.58641192	-1.224093172	0.00177122	0.283064122	other RNA
AT1G78060	AT1G78060.1	844141	2630.117852	1605.22066	0.712355817	0.003011809	0.39257112	hydrolase
AT1G78320	AT1G78320.1	844167	46.78368395	22.78312066	1.0380401	0.017759487	1	GSTU23
AT1G78340	AT1G78340.1	844169	109.1846393	42.13009456	1.373846845	0.016297372	1	GSTU22
AT1G78380	AT1G78380.1	844174	7543.991073	5100.419794	0.564711975	0.009989626	0.779593824	GST8
AT1G78460	AT1G78460.1	844182	17.17661776	46.0728775	-1.423471721	0.00021743	0.073321648	SOUL heme-binding
AT1G78970	AT1G78970.1	844237	115.7260929	186.4394556	-0.687993018	0.036653986	1	LUP1
AT1G78970	AT1G78970.2	844237	111.1038215	180.5552408	-0.700531857	0.031642087	1	LUP1
AT1G79160	AT1G79160.1	844257	98.18251663	64.31925475	0.610215456	0.026491504	1	-
